AsAt,Score,n,only
08/2026,65,29846,13862
08/2026,75,33484,16816
08/2026,70,33275,16087
08/2026,80,23947,12335
08/2026,95,5979,3544
08/2026,90,12682,7591
08/2026,85,19061,10606
08/2026,55,5705,1618
08/2026,60,11364,3639
08/2026,50,2155,491
08/2026,110,27,16
08/2026,100,1967,1314
08/2026,105,209,131
08/2026,40,206,42
08/2026,45,641,156
08/2026,30,29,10
08/2026,25,7,2
08/2026,120,5,1
08/2026,115,5,1
08/2026,125,4,1
08/2026,35,52,5
08/2026,20,1,0
07/2026,65,29242,13509
07/2026,75,32972,16452
07/2026,70,32979,15814
07/2026,80,22103,11348
07/2026,95,5691,3375
07/2026,90,12133,7228
07/2026,85,18332,10169
07/2026,55,5527,1534
07/2026,60,11152,3502
07/2026,50,2119,466
07/2026,110,19,10
07/2026,100,1891,1259
07/2026,105,184,117
07/2026,40,202,39
07/2026,45,607,151
07/2026,30,29,10
07/2026,25,7,2
07/2026,120,4,0
07/2026,115,2,1
07/2026,125,3,1
07/2026,35,52,5
06/2026,65,29049,13379
06/2026,75,32660,16213
06/2026,70,32835,15621
06/2026,80,21244,10899
06/2026,95,5506,3277
06/2026,90,11910,7105
06/2026,85,17827,9872
06/2026,55,5399,1477
06/2026,60,10916,3381
06/2026,50,2060,450
06/2026,110,16,9
06/2026,100,1749,1184
06/2026,105,166,104
06/2026,40,195,36
06/2026,45,585,141
06/2026,30,27,9
06/2026,25,8,2
06/2026,120,3,0
06/2026,115,3,1
06/2026,125,2,1
06/2026,35,48,5
05/2026,65,28868,13222
05/2026,75,32347,15958
05/2026,70,32544,15391
05/2026,80,24807,12737
05/2026,95,5536,3304
05/2026,90,12422,7463
05/2026,85,19616,10907
05/2026,55,5119,1382
05/2026,60,10506,3204
05/2026,50,1981,425
05/2026,110,18,9
05/2026,100,1729,1155
05/2026,105,167,113
05/2026,40,188,37
05/2026,45,576,132
05/2026,30,27,8
05/2026,25,6,2
05/2026,120,3,0
05/2026,115,3,1
05/2026,125,2,1
05/2026,35,43,3
04/2026,65,28149,12901
04/2026,75,31644,15581
04/2026,70,32093,15068
04/2026,80,24084,12375
04/2026,95,5352,3228
04/2026,90,12218,7322
04/2026,85,19095,10567
04/2026,55,4903,1304
04/2026,60,10125,3027
04/2026,50,1922,409
04/2026,110,17,8
04/2026,100,1628,1066
04/2026,105,156,108
04/2026,40,169,36
04/2026,45,547,127
04/2026,30,26,8
04/2026,25,4,2
04/2026,120,3,0
04/2026,115,3,1
04/2026,125,1,0
04/2026,35,44,3
03/2026,65,27492,12591
03/2026,75,30922,15198
03/2026,70,31410,14742
03/2026,80,23487,12132
03/2026,95,5198,3125
03/2026,90,11973,7132
03/2026,85,18501,10239
03/2026,55,4643,1237
03/2026,60,9630,2893
03/2026,50,1832,374
03/2026,110,14,6
03/2026,100,1548,1028
03/2026,105,147,101
03/2026,40,167,39
03/2026,45,497,116
03/2026,30,25,7
03/2026,25,3,1
03/2026,120,3,0
03/2026,115,3,1
03/2026,125,1,0
03/2026,35,43,2
02/2026,65,27053,12375
02/2026,75,30420,14845
02/2026,70,30757,14457
02/2026,80,22788,11854
02/2026,95,5075,3023
02/2026,90,11685,7027
02/2026,85,17676,9757
02/2026,55,4415,1169
02/2026,60,9340,2778
02/2026,50,1779,353
02/2026,110,17,9
02/2026,100,1423,961
02/2026,105,142,96
02/2026,40,150,36
02/2026,45,467,102
02/2026,30,24,7
02/2026,25,3,1
02/2026,120,3,0
02/2026,115,3,1
02/2026,125,1,0
02/2026,35,38,2
01/2026,65,26384,12059
01/2026,75,29614,14539
01/2026,70,30250,14232
01/2026,80,21767,11301
01/2026,95,4840,2907
01/2026,90,11334,6764
01/2026,85,16812,9340
01/2026,55,4286,1124
01/2026,60,8995,2638
01/2026,50,1696,323
01/2026,110,11,5
01/2026,100,1264,855
01/2026,105,131,87
01/2026,40,126,33
01/2026,45,440,92
01/2026,30,24,7
01/2026,25,3,1
01/2026,120,3,0
01/2026,115,3,1
01/2026,125,1,0
01/2026,35,34,2
01/2026,20,1,0
12/2025,65,25851,11777
12/2025,75,28182,13770
12/2025,70,29601,13950
12/2025,80,20325,10508
12/2025,95,4477,2711
12/2025,90,10508,6302
12/2025,85,15443,8546
12/2025,55,4079,1055
12/2025,60,8688,2537
12/2025,50,1599,304
12/2025,110,12,5
12/2025,100,1120,761
12/2025,105,113,81
12/2025,40,120,32
12/2025,45,430,91
12/2025,30,17,4
12/2025,25,3,1
12/2025,120,3,0
12/2025,115,3,1
12/2025,125,1,0
12/2025,35,27,3
11/2025,65,25683,11685
11/2025,75,27566,13448
11/2025,70,29104,13699
11/2025,80,19553,10123
11/2025,95,4241,2608
11/2025,90,10011,6007
11/2025,85,14839,8309
11/2025,55,3953,987
11/2025,60,8467,2432
11/2025,50,1527,291
11/2025,110,8,5
11/2025,100,1034,695
11/2025,105,106,73
11/2025,40,109,30
11/2025,45,406,84
11/2025,30,12,3
11/2025,25,2,1
11/2025,120,3,0
11/2025,115,4,1
11/2025,125,1,0
11/2025,35,25,4
10/2025,65,24556,11045
10/2025,75,27755,13479
10/2025,70,27940,13051
10/2025,80,20486,10528
10/2025,95,4058,2527
10/2025,90,10512,6223
10/2025,85,16064,8956
10/2025,55,3746,931
10/2025,60,7977,2207
10/2025,50,1377,255
10/2025,110,11,9
10/2025,100,958,647
10/2025,105,96,68
10/2025,40,103,26
10/2025,45,387,74
10/2025,30,8,1
10/2025,25,1,0
10/2025,120,4,0
10/2025,115,4,2
10/2025,125,1,0
10/2025,35,22,3
09/2025,65,23126,10428
09/2025,75,26228,12809
09/2025,70,26383,12413
09/2025,80,18652,9706
09/2025,95,3580,2243
09/2025,90,9385,5597
09/2025,85,14439,8077
09/2025,55,3441,853
09/2025,60,7447,2064
09/2025,50,1261,235
09/2025,110,5,3
09/2025,100,814,561
09/2025,105,85,55
09/2025,40,96,25
09/2025,45,363,67
09/2025,30,6,0
09/2025,25,1,0
09/2025,120,3,0
09/2025,115,3,1
09/2025,125,1,0
09/2025,35,19,3
08/2025,65,22240,10013
08/2025,75,24879,12139
08/2025,70,25066,11899
08/2025,80,17331,9069
08/2025,95,3131,2011
08/2025,90,8621,5166
08/2025,85,13541,7570
08/2025,55,3252,779
08/2025,60,6927,1874
08/2025,50,1185,224
08/2025,110,2,0
08/2025,100,721,502
08/2025,105,73,48
08/2025,40,91,21
08/2025,45,336,64
08/2025,30,5,0
08/2025,25,1,0
08/2025,120,3,0
08/2025,115,3,1
08/2025,125,1,0
08/2025,35,17,3
07/2025,65,21389,9585
07/2025,75,23212,11421
07/2025,70,23965,11303
07/2025,80,17829,9344
07/2025,95,3081,1991
07/2025,90,8787,5227
07/2025,85,13958,7815
07/2025,55,3004,716
07/2025,60,6466,1739
07/2025,50,1090,199
07/2025,110,8,5
07/2025,100,734,513
07/2025,105,85,54
07/2025,40,82,17
07/2025,45,314,63
07/2025,30,5,0
07/2025,25,1,0
07/2025,120,3,0
07/2025,115,4,2
07/2025,125,1,0
07/2025,35,17,4
06/2025,65,20343,9033
06/2025,75,21723,10781
06/2025,70,22395,10637
06/2025,80,16484,8635
06/2025,95,2776,1827
06/2025,90,8068,4873
06/2025,85,12767,7163
06/2025,55,2768,632
06/2025,60,5981,1603
06/2025,50,1060,194
06/2025,110,10,7
06/2025,100,616,433
06/2025,105,73,46
06/2025,40,72,16
06/2025,45,302,62
06/2025,30,4,0
06/2025,25,1,0
06/2025,120,3,0
06/2025,115,3,1
06/2025,125,1,0
06/2025,35,17,4
05/2025,65,19345,8564
05/2025,75,20460,10100
05/2025,70,21183,10015
05/2025,80,15405,8004
05/2025,95,2520,1641
05/2025,90,7478,4557
05/2025,85,11830,6657
05/2025,55,2616,578
05/2025,60,5638,1505
05/2025,50,1009,180
05/2025,110,10,6
05/2025,100,504,345
05/2025,105,49,29
05/2025,40,66,15
05/2025,45,279,56
05/2025,30,4,0
05/2025,25,1,0
05/2025,120,2,0
05/2025,115,4,1
05/2025,125,1,0
05/2025,35,15,4
04/2025,65,18038,7885
04/2025,75,18775,9164
04/2025,70,19581,9143
04/2025,80,14027,7254
04/2025,95,2291,1449
04/2025,90,6845,4139
04/2025,85,10839,6043
04/2025,55,2444,529
04/2025,60,5200,1311
04/2025,50,937,168
04/2025,110,10,5
04/2025,100,432,278
04/2025,105,38,20
04/2025,40,62,13
04/2025,45,266,49
04/2025,30,6,0
04/2025,25,1,0
04/2025,120,2,0
04/2025,115,4,1
04/2025,125,1,0
04/2025,35,12,3
03/2025,65,16474,7115
03/2025,75,17096,8335
03/2025,70,17856,8301
03/2025,80,12610,6465
03/2025,95,1976,1261
03/2025,90,6341,3858
03/2025,85,9762,5386
03/2025,55,2227,454
03/2025,60,4728,1156
03/2025,50,873,171
03/2025,110,9,5
03/2025,100,361,229
03/2025,105,34,16
03/2025,40,56,8
03/2025,45,225,44
03/2025,30,4,0
03/2025,25,1,0
03/2025,115,3,0
03/2025,125,1,0
03/2025,35,11,3
03/2025,20,1,0
02/2025,65,14784,6342
02/2025,75,15224,7327
02/2025,70,15956,7367
02/2025,80,11133,5696
02/2025,95,1760,1133
02/2025,90,5627,3409
02/2025,85,8567,4742
02/2025,55,2030,406
02/2025,60,4269,1026
02/2025,50,771,139
02/2025,110,7,3
