StatusMonth,Score,n
2025-01,65,81
2025-01,75,176
2025-01,70,134
2025-01,80,213
2025-01,95,130
2025-01,90,194
2025-01,85,199
2025-01,110,7
2025-01,100,112
2025-01,105,48
2025-01,115,1
2024-09,65,49
2024-09,75,80
2024-09,70,74
2024-09,80,294
2024-09,95,346
2024-09,90,277
2024-09,85,226
2024-09,110,54
2024-09,100,140
2024-09,105,85
2024-09,120,41
2024-09,115,45
2024-09,125,2
2024-09,130,4
2024-09,135,15
2024-09,140,3
2026-06,65,103
2026-06,75,135
2026-06,70,129
2026-06,80,281
2026-06,95,740
2026-06,90,201
2026-06,85,205
2026-06,110,32
2026-06,100,354
2026-06,105,120
2026-06,120,2
2026-06,115,7
2026-06,140,1
2026-07,65,7
2026-07,75,21
2026-07,70,4
2026-07,80,15
2026-07,95,3
2026-07,90,5
2026-07,85,3
2026-07,100,2
2025-08,80,166
2025-08,95,178
2025-08,90,68
2025-08,85,182
2025-08,110,34
2025-08,100,144
2025-08,105,108
2025-08,120,4
2025-08,115,9
2025-08,135,1
2026-01,65,72
2026-01,75,125
2026-01,70,79
2026-01,80,167
2026-01,95,144
2026-01,90,138
2026-01,85,147
2026-01,110,11
2026-01,100,92
2026-01,105,38
2026-01,115,2
2025-05,65,77
2025-05,75,185
2025-05,70,112
2025-05,80,259
2025-05,95,144
2025-05,90,230
2025-05,85,207
2025-05,110,21
2025-05,100,95
2025-05,105,44
2025-05,115,2
2025-09,65,39
2025-09,75,66
2025-09,70,44
2025-09,80,71
2025-09,95,24
2025-09,90,47
2025-09,85,44
2025-09,110,15
2025-09,100,19
2025-09,105,34
2025-09,115,6
2024-12,65,58
2024-12,75,106
2024-12,70,77
2024-12,80,138
2024-12,95,146
2024-12,90,155
2024-12,85,154
2024-12,110,5
2024-12,100,87
2024-12,105,28
2024-12,115,1
2025-02,65,103
2025-02,75,208
2025-02,70,195
2025-02,80,238
2025-02,95,106
2025-02,90,179
2025-02,85,248
2025-02,110,4
2025-02,100,58
2025-02,105,28
2025-02,115,2
2024-11,65,76
2024-11,75,190
2024-11,70,118
2024-11,80,302
2024-11,95,374
2024-11,90,896
2024-11,85,322
2024-11,110,330
2024-11,100,194
2024-11,105,495
2024-11,120,3
2024-11,115,16
2024-11,125,2
2024-11,130,4
2024-10,65,31
2024-10,75,90
2024-10,70,39
2024-10,80,141
2024-10,95,118
2024-10,90,138
2024-10,85,201
2024-10,110,8
2024-10,100,103
2024-10,105,45
2024-10,115,1
2025-03,65,103
2025-03,75,198
2025-03,70,162
2025-03,80,269
2025-03,95,110
2025-03,90,197
2025-03,85,259
2025-03,110,6
2025-03,100,81
2025-03,105,25
2026-08,65,11
2026-08,75,23
2026-08,70,23
2026-08,80,22
2026-08,95,37
2026-08,90,38
2026-08,85,19
2026-08,110,1
2026-08,100,22
2026-08,105,8
2025-04,65,87
2025-04,75,167
2025-04,70,133
2025-04,80,228
2025-04,95,129
2025-04,90,186
2025-04,85,213
2025-04,110,4
2025-04,100,93
2025-04,105,32
2025-12,65,36
2025-12,75,82
2025-12,70,49
2025-12,80,96
2025-12,95,66
2025-12,90,89
2025-12,85,107
2025-12,110,5
2025-12,100,49
2025-12,105,21
2025-12,115,4
2025-11,65,63
2025-11,75,109
2025-11,70,66
2025-11,80,281
2025-11,95,310
2025-11,90,321
2025-11,85,237
2025-11,110,29
2025-11,100,388
2025-11,105,178
2025-11,115,4
2025-11,135,1
2026-02,65,151
2026-02,75,237
2026-02,70,213
2026-02,80,284
2026-02,95,156
2026-02,90,235
2026-02,85,235
2026-02,110,12
2026-02,100,121
2026-02,105,57
2026-02,115,3
2025-06,65,84
2025-06,75,148
2025-06,70,135
2025-06,80,261
2025-06,95,251
2025-06,90,318
2025-06,85,299
2025-06,110,24
2025-06,100,155
2025-06,105,75
2025-06,115,6
2025-10,65,16
2025-10,75,31
2025-10,70,21
2025-10,80,62
2025-10,95,49
2025-10,90,62
2025-10,85,35
2025-10,110,11
2025-10,100,34
2025-10,105,7
2025-10,115,2
2026-05,65,137
2026-05,75,223
2026-05,70,192
2026-05,80,216
2026-05,95,155
2026-05,90,232
2026-05,85,219
2026-05,110,18
2026-05,100,191
2026-05,105,66
2026-05,115,16
2026-04,65,75
2026-04,75,118
2026-04,70,117
2026-04,80,146
2026-04,95,116
2026-04,90,116
2026-04,85,128
2026-04,110,11
2026-04,100,69
2026-04,105,37
2026-04,115,6
2026-04,125,1
2026-03,65,147
2026-03,75,237
2026-03,70,213
2026-03,80,195
2026-03,95,129
2026-03,90,163
2026-03,85,177
2026-03,110,16
2026-03,100,78
2026-03,105,41
2026-03,115,8
