OccGroup,2024-09,2024-11,2025-08,2025-11,2026-06
1212 Crop Farmers,0,0,0,0,0
1213 Livestock Farmers,0,0,0,0,0
1311 Advertising and Sales Managers,0,0,0,0,0
1321 Corporate Services Managers,0,0,0,0,0
1322 Finance Managers,0,0,0,0,0
1323 Human Resource Managers,0,0,0,0,0
1324 Policy and Planning Managers,0,0,0,0,0
1325 Research and Development Managers,0,0,0,0,0
1331 Construction Managers,378,598,3,103,424
1332 Engineering Managers,1,1,1,20,46
1334 Manufacturers,0,0,0,0,0
1335 Production Managers,0,0,0,0,0
1336 Supply and Distribution Managers,0,0,0,0,0
1341 Child Care Centre Managers,3,3,1,4,5
1342 Health and Welfare Services Managers,3,3,1,5,12
1343 School Principals,0,0,0,0,0
1344 Other Education Managers,0,0,0,0,0
1351 ICT Managers,0,0,0,0,0
1399 Other Specialist Managers,1,11,7,27,56
1411 Cafe and Restaurant Managers,0,0,0,0,0
1412 Caravan Park and Camping Ground Managers,0,0,0,0,0
1413 Hotel and Motel Managers,0,0,0,0,0
1419 Other Accommodation and Hospitality Managers,0,0,0,0,0
1421 Retail Managers,0,0,0,0,0
1492 Call or Contact Centre and Customer Service Managers,0,0,0,0,0
1493 Conference and Event Organisers,0,0,0,0,0
1494 Transport Services Managers,0,0,0,0,0
"1499 Other Hospitality, Retail and Service Managers",0,0,0,0,0
"2111 Actors, Dancers and Other Entertainers",0,1,0,0,5
2112 Music Professionals,0,3,1,1,8
2113 Photographers,0,0,0,0,0
"2121 Artistic Directors, and Media Producers and Presenters",0,0,0,1,0
"2123 Film, Television, Radio and Stage Directors",0,0,0,0,0
2124 Journalists and Other Writers,0,0,0,0,0
2211 Accountants,252,802,0,0,0
"2212 Auditors, Company Secretaries and Corporate Treasurers",136,464,0,0,0
2221 Financial Brokers,0,0,0,0,0
2222 Financial Dealers,0,0,0,0,0
2223 Financial Investment Advisers and Managers,0,0,0,0,0
2231 Human Resource Professionals,0,0,0,0,0
2232 ICT Trainers,0,0,0,0,0
"2241 Actuaries, Mathematicians and Statisticians",32,109,113,286,146
"2242 Archivists, Curators and Records Managers",0,0,0,0,0
2243 Economists,4,18,19,41,98
2244 Intelligence and Policy Analysts,0,0,0,0,0
2245 Land Economists and Valuers,0,4,7,25,46
2246 Librarians,0,0,0,0,0
2247 Management and Organisation Analysts,6,71,50,173,292
2249 Other Information and Organisation Professionals,0,0,0,0,0
2251 Advertising and Marketing Professionals,0,0,0,0,0
