AsAt,Occupation,Score,n,maxsub
08/2026,261312 Developer Programmer,65,384,46260.65329887731
08/2026,261312 Developer Programmer,75,635,46265.84841068287
08/2026,261312 Developer Programmer,70,535,46265.89854355324
08/2026,261312 Developer Programmer,80,545,46265.87232372685
08/2026,261312 Developer Programmer,95,341,46262.575759722225
08/2026,261312 Developer Programmer,90,539,46265.617080324075
08/2026,261312 Developer Programmer,85,572,46264.712582175925
08/2026,261312 Developer Programmer,55,38,46189.740790358795
08/2026,261312 Developer Programmer,60,91,46234.80837280092
08/2026,261312 Developer Programmer,50,16,46161.667727858796
08/2026,261312 Developer Programmer,110,2,46029.97233229167
08/2026,261312 Developer Programmer,100,131,46252.441849421295
08/2026,261312 Developer Programmer,105,11,46255.547946956016
08/2026,261312 Developer Programmer,45,3,45673.74990501157
08/2026,261312 Developer Programmer,115,1,45603.902996875
08/2026,321211 Motor Mechanic (General),65,234,46265.506858761575
08/2026,321211 Motor Mechanic (General),75,232,46261.759551041665
08/2026,321211 Motor Mechanic (General),70,280,46252.60504884259
08/2026,321211 Motor Mechanic (General),80,134,46237.693906863424
08/2026,321211 Motor Mechanic (General),95,10,46133.85612777778
08/2026,321211 Motor Mechanic (General),90,32,46176.37560216435
08/2026,321211 Motor Mechanic (General),85,65,46244.980358182875
08/2026,321211 Motor Mechanic (General),55,21,46257.29576076389
08/2026,321211 Motor Mechanic (General),60,66,46249.543530173614
08/2026,321211 Motor Mechanic (General),50,6,46253.78753394676
08/2026,321211 Motor Mechanic (General),45,2,45945.334142858796
08/2026,321211 Motor Mechanic (General),30,1,45973.33527789352
08/2026,233211 Civil Engineer,65,647,46265.62238306713
08/2026,233211 Civil Engineer,75,738,46265.92659915509
08/2026,233211 Civil Engineer,70,727,46265.81484421296
08/2026,233211 Civil Engineer,80,648,46263.909425
08/2026,233211 Civil Engineer,95,130,46259.5624962963
08/2026,233211 Civil Engineer,90,293,46265.86762650463
08/2026,233211 Civil Engineer,85,534,46265.80491003472
08/2026,233211 Civil Engineer,55,67,46255.75007195602
08/2026,233211 Civil Engineer,60,160,46263.96535679398
08/2026,233211 Civil Engineer,50,25,46200.55467430555
08/2026,233211 Civil Engineer,110,1,46265.7132309838
08/2026,233211 Civil Engineer,100,34,46224.02875193287
08/2026,233211 Civil Engineer,105,1,45768.50243807871
08/2026,233211 Civil Engineer,40,1,45966.81000358796
08/2026,233211 Civil Engineer,45,9,46233.935964895834
08/2026,233211 Civil Engineer,30,1,46023.79353796296
08/2026,241111 Early Childhood (Pre-primary School) Teacher,65,885,46265.744752893515
08/2026,241111 Early Childhood (Pre-primary School) Teacher,75,1222,46265.69482762732
08/2026,241111 Early Childhood (Pre-primary School) Teacher,70,1376,46265.727197025466
08/2026,241111 Early Childhood (Pre-primary School) Teacher,80,1044,46265.869870752314
08/2026,241111 Early Childhood (Pre-primary School) Teacher,95,4,46025.450912500004
08/2026,241111 Early Childhood (Pre-primary School) Teacher,90,241,46265.78493873843
08/2026,241111 Early Childhood (Pre-primary School) Teacher,85,1226,46265.94729001157
08/2026,241111 Early Childhood (Pre-primary School) Teacher,55,70,46249.46062369213
08/2026,241111 Early Childhood (Pre-primary School) Teacher,60,268,46265.47689082176
08/2026,241111 Early Childhood (Pre-primary School) Teacher,50,25,46264.82516820602
08/2026,241111 Early Childhood (Pre-primary School) Teacher,40,2,46147.729611689814
08/2026,241111 Early Childhood (Pre-primary School) Teacher,45,5,46255.57178978009
08/2026,241111 Early Childhood (Pre-primary School) Teacher,30,1,46197.449707673615
08/2026,241111 Early Childhood (Pre-primary School) Teacher,125,1,46171.94125744213
08/2026,261111 ICT Business Analyst,65,415,46262.83449552083
08/2026,261111 ICT Business Analyst,75,687,46260.13440112268
08/2026,261111 ICT Business Analyst,70,519,46265.63931481481
08/2026,261111 ICT Business Analyst,80,704,46265.94905292824
08/2026,261111 ICT Business Analyst,95,379,46261.58227584491
08/2026,261111 ICT Business Analyst,90,662,46265.83529996528
08/2026,261111 ICT Business Analyst,85,577,46261.66094440973
08/2026,261111 ICT Business Analyst,55,47,46253.594504664354
08/2026,261111 ICT Business Analyst,60,98,46263.64985239583
08/2026,261111 ICT Business Analyst,50,14,46220.69908402778
08/2026,261111 ICT Business Analyst,110,2,45969.06711350694
08/2026,261111 ICT Business Analyst,100,150,46246.48113298611
08/2026,261111 ICT Business Analyst,105,10,46217.9475784375
08/2026,261111 ICT Business Analyst,45,2,46224.05402473379
08/2026,261313 Software Engineer,65,620,46265.9301462963
08/2026,261313 Software Engineer,75,883,46265.960943784725
08/2026,261313 Software Engineer,70,752,46265.78117523148
08/2026,261313 Software Engineer,80,696,46265.84377230324
08/2026,261313 Software Engineer,95,387,46264.572517858796
08/2026,261313 Software Engineer,90,684,46265.588963078706
08/2026,261313 Software Engineer,85,709,46264.75396091435
08/2026,261313 Software Engineer,55,76,46251.180066782406
