StatusMonth,Occupation,Score,n
2024-09,261312 Developer Programmer,100,24
2024-09,261312 Developer Programmer,105,2
2024-09,321211 Motor Mechanic (General),95,2
2024-09,321211 Motor Mechanic (General),90,1
2024-09,233211 Civil Engineer,95,45
2024-09,233211 Civil Engineer,90,24
2024-09,233211 Civil Engineer,100,11
2024-09,233211 Civil Engineer,105,2
2024-09,241111 Early Childhood (Pre-primary School) Teacher,75,11
2024-09,241111 Early Childhood (Pre-primary School) Teacher,80,186
2024-09,241111 Early Childhood (Pre-primary School) Teacher,90,6
2024-09,241111 Early Childhood (Pre-primary School) Teacher,85,58
2024-09,261111 ICT Business Analyst,95,1
2024-09,261111 ICT Business Analyst,110,1
2024-09,261111 ICT Business Analyst,100,33
2024-09,261111 ICT Business Analyst,105,1
2024-09,261313 Software Engineer,100,43
2024-09,261313 Software Engineer,105,3
2024-09,261313 Software Engineer,120,1
2024-09,221111 Accountant (General),95,1
2024-09,221111 Accountant (General),110,1
2024-09,221111 Accountant (General),100,91
2024-09,221111 Accountant (General),105,12
2024-09,262112 ICT Security Specialist,100,8
2024-09,221213 External Auditor,95,44
2024-09,221213 External Auditor,90,54
2024-09,221213 External Auditor,100,8
2024-09,221213 External Auditor,105,2
2024-09,233512 Mechanical Engineer,95,47
2024-09,233512 Mechanical Engineer,90,51
2024-09,233512 Mechanical Engineer,100,4
2024-09,233999 Engineering Professionals nec,95,11
2024-09,233999 Engineering Professionals nec,90,2
2024-09,233999 Engineering Professionals nec,100,1
2024-09,233999 Engineering Professionals nec,105,1
2024-09,234111 Agricultural Consultant,95,1
2024-09,254418 Registered Nurse (Medical),75,6
2024-09,254418 Registered Nurse (Medical),80,23
2024-09,254418 Registered Nurse (Medical),85,7
2024-09,351311 Chef,95,3
2024-09,351311 Chef,90,1
2024-09,233411 Electronics Engineer,95,12
2024-09,233411 Electronics Engineer,90,12
2024-09,233411 Electronics Engineer,100,2
2024-09,233411 Electronics Engineer,105,2
2024-09,261112 Systems Analyst,100,14
2024-09,261112 Systems Analyst,105,2
2024-09,263111 Computer Network and Systems Engineer,100,18
2024-09,263111 Computer Network and Systems Engineer,105,1
2024-09,234211 Chemist,95,3
2024-09,234211 Chemist,100,1
2024-09,234211 Chemist,105,1
2024-09,271311 Solicitor,95,8
2024-09,271311 Solicitor,90,7
2024-09,233111 Chemical Engineer,95,13
2024-09,233111 Chemical Engineer,90,7
2024-09,233111 Chemical Engineer,100,1
2024-09,233111 Chemical Engineer,105,3
2024-09,233914 Engineering Technologist,95,43
2024-09,233914 Engineering Technologist,90,31
2024-09,233914 Engineering Technologist,100,5
2024-09,233914 Engineering Technologist,105,2
2024-09,233913 Biomedical Engineer,95,4
2024-09,233913 Biomedical Engineer,90,2
2024-09,233913 Biomedical Engineer,100,1
2024-09,233913 Biomedical Engineer,105,1
2024-09,221214 Internal Auditor,95,4
2024-09,261399 Software and Applications Programmers nec,95,19
2024-09,261399 Software and Applications Programmers nec,90,4
2024-09,261399 Software and Applications Programmers nec,105,1
2024-09,233513 Production or Plant Engineer,95,5
2024-09,233513 Production or Plant Engineer,90,6
2024-09,233513 Production or Plant Engineer,100,1
2024-09,233311 Electrical Engineer,95,25
2024-09,233311 Electrical Engineer,90,20
2024-09,233311 Electrical Engineer,110,1
2024-09,233311 Electrical Engineer,100,4
2024-09,232111 Architect,75,54
2024-09,232111 Architect,80,122
2024-09,232111 Architect,95,4
2024-09,232111 Architect,90,32
2024-09,232111 Architect,85,73
2024-09,232111 Architect,105,1
2024-09,234212 Food Technologist,95,3
2024-09,234212 Food Technologist,90,1
2024-09,221112 Management Accountant,100,3
2024-09,221112 Management Accountant,105,1
2024-09,224711 Management Consultant,95,2
2024-09,224711 Management Consultant,90,1
2024-09,234711 Veterinarian,95,4
2024-09,234711 Veterinarian,115,2
2024-09,241411 Secondary School Teacher,75,8
2024-09,241411 Secondary School Teacher,80,63
2024-09,241411 Secondary School Teacher,85,16
2024-09,134111 Child Care Centre Manager,80,1
2024-09,134111 Child Care Centre Manager,90,1
2024-09,134111 Child Care Centre Manager,85,1
2024-09,224111 Actuary,95,3
2024-09,224111 Actuary,90,2
2024-09,333111 Glazier,65,1
2024-09,333111 Glazier,70,2
2024-09,242111 University Lecturer,95,13
2024-09,242111 University Lecturer,90,4
2024-09,242111 University Lecturer,100,12
2024-09,242111 University Lecturer,105,1
2024-09,263312 Telecommunications Network Engineer,95,2
2024-09,263312 Telecommunications Network Engineer,90,2
2024-09,233213 Quantity Surveyor,75,46
2024-09,233213 Quantity Surveyor,80,114
2024-09,233213 Quantity Surveyor,95,13
2024-09,233213 Quantity Surveyor,90,21
2024-09,233213 Quantity Surveyor,85,79
2024-09,233213 Quantity Surveyor,100,1
2024-09,233213 Quantity Surveyor,105,1
2024-09,234599 Life Scientists nec,95,1
2024-09,254422 Registered Nurse (Mental Health),75,3
2024-09,254422 Registered Nurse (Mental Health),80,3
2024-09,254422 Registered Nurse (Mental Health),90,1
2024-09,254422 Registered Nurse (Mental Health),85,2
2024-09,254422 Registered Nurse (Mental Health),100,1
2024-09,312211 Civil Engineering Draftsperson,75,77
2024-09,312211 Civil Engineering Draftsperson,80,154
2024-09,312211 Civil Engineering Draftsperson,95,2
2024-09,312211 Civil Engineering Draftsperson,90,10
2024-09,312211 Civil Engineering Draftsperson,85,44
2024-09,321212 Diesel Motor Mechanic,90,1
2024-09,234511 Life Scientist (General),95,5
2024-09,234511 Life Scientist (General),90,2
2024-09,234511 Life Scientist (General),110,1
2024-09,234511 Life Scientist (General),100,1
2024-09,234511 Life Scientist (General),105,1
2024-09,254423 Registered Nurse (Perioperative),75,3
2024-09,254423 Registered Nurse (Perioperative),80,5
2024-09,233212 Geotechnical Engineer,75,3
2024-09,233212 Geotechnical Engineer,80,16
2024-09,233212 Geotechnical Engineer,95,2
2024-09,233212 Geotechnical Engineer,90,1
2024-09,233212 Geotechnical Engineer,85,3
2024-09,233212 Geotechnical Engineer,100,1
2024-09,232212 Surveyor,95,2
2024-09,232212 Surveyor,100,1
2024-09,254499 Registered Nurses nec,75,17
2024-09,254499 Registered Nurses nec,80,131
2024-09,254499 Registered Nurses nec,90,3
2024-09,254499 Registered Nurses nec,85,22
2024-09,254499 Registered Nurses nec,115,1
2024-09,221113 Taxation Accountant,95,25
2024-09,221113 Taxation Accountant,90,9
2024-09,221113 Taxation Accountant,100,7
2024-09,224512 Valuer,95,1
2024-09,261311 Analyst Programmer,95,47
2024-09,261311 Analyst Programmer,90,14
2024-09,261311 Analyst Programmer,100,6
2024-09,261311 Analyst Programmer,105,2
2024-09,233215 Transport Engineer,75,6
2024-09,233215 Transport Engineer,80,13
2024-09,233215 Transport Engineer,95,1
2024-09,233215 Transport Engineer,90,1
2024-09,233215 Transport Engineer,85,2
2024-09,233214 Structural Engineer,75,16
2024-09,233214 Structural Engineer,80,30
2024-09,233214 Structural Engineer,95,2
2024-09,233214 Structural Engineer,90,11
2024-09,233214 Structural Engineer,85,23
2024-09,233214 Structural Engineer,100,2
2024-09,233611 Mining Engineer (excluding Petroleum),105,1
2024-09,254417 Registered Nurse (Disability and Rehabilitation),80,1
2024-09,261211 Multimedia Specialist,95,4
2024-09,261211 Multimedia Specialist,90,3
2024-09,263311 Telecommunications Engineer,95,7
2024-09,263311 Telecommunications Engineer,90,13
2024-09,322313 Welder (First Class),80,9
2024-09,322313 Welder (First Class),90,1
2024-09,322313 Welder (First Class),85,6
2024-09,232214 Other Spatial Scientist,100,1
2024-09,133111 Construction Project Manager,75,74
2024-09,133111 Construction Project Manager,80,120
2024-09,133111 Construction Project Manager,95,1
2024-09,133111 Construction Project Manager,90,12
2024-09,133111 Construction Project Manager,85,38
2024-09,133111 Construction Project Manager,100,2
2024-09,253111 General Practitioner,75,6
2024-09,253111 General Practitioner,80,61
2024-09,253111 General Practitioner,90,8
2024-09,253111 General Practitioner,85,27
2024-09,253111 General Practitioner,110,1
