AsAt,SubMonth,n
08/2026,2026-07,7106
08/2026,2026-08,8109
08/2026,2026-06,8135
08/2026,2026-05,7397
08/2026,2026-04,7665
08/2026,2023-09,1
08/2026,2024-08,76
08/2026,2024-09,7852
08/2026,2024-10,6382
08/2026,2024-11,7759
08/2026,2024-12,6465
08/2026,2025-01,6579
08/2026,2025-02,6495
08/2026,2025-03,7591
08/2026,2025-04,7522
08/2026,2025-05,7754
08/2026,2025-06,6460
08/2026,2025-07,7276
08/2026,2025-08,8987
08/2026,2025-09,8160
08/2026,2025-10,8982
08/2026,2025-11,10164
08/2026,2025-12,6026
08/2026,2026-01,6829
08/2026,2026-02,7534
08/2026,2026-03,7345
07/2026,2026-07,7151
07/2026,2026-06,8039
07/2026,2026-05,7287
07/2026,2026-04,7530
07/2026,2024-07,193
07/2026,2024-08,4769
07/2026,2024-09,7859
07/2026,2024-10,6357
07/2026,2024-11,7708
07/2026,2024-12,6428
07/2026,2025-01,6531
07/2026,2025-02,6451
07/2026,2025-03,7543
07/2026,2025-04,7435
07/2026,2025-05,7685
07/2026,2025-06,6393
07/2026,2025-07,7221
07/2026,2025-08,8951
07/2026,2025-09,8075
07/2026,2025-10,8909
07/2026,2025-11,9920
07/2026,2025-12,5823
07/2026,2026-01,6629
07/2026,2026-02,7218
07/2026,2026-03,7145
06/2026,2026-06,8072
06/2026,2026-05,7316
06/2026,2026-04,7550
06/2026,2024-06,65
06/2026,2024-07,3788
06/2026,2024-08,4771
06/2026,2024-09,7888
06/2026,2024-10,6361
06/2026,2024-11,7734
06/2026,2024-12,6454
06/2026,2025-01,6553
06/2026,2025-02,6460
06/2026,2025-03,7572
06/2026,2025-04,7454
06/2026,2025-05,7705
06/2026,2025-06,6409
06/2026,2025-07,7240
06/2026,2025-08,8981
06/2026,2025-09,8102
06/2026,2025-10,8944
06/2026,2025-11,9932
06/2026,2025-12,5823
06/2026,2026-01,6640
06/2026,2026-02,7228
06/2026,2026-03,7166
05/2026,2026-05,7942
05/2026,2026-04,8216
05/2026,2024-05,89
05/2026,2024-06,2381
05/2026,2024-07,3880
05/2026,2024-08,4882
05/2026,2024-09,8051
05/2026,2024-10,6492
05/2026,2024-11,7969
05/2026,2024-12,6666
05/2026,2025-01,6818
05/2026,2025-02,6825
05/2026,2025-03,7910
05/2026,2025-04,7773
05/2026,2025-05,8069
05/2026,2025-06,6729
05/2026,2025-07,7587
05/2026,2025-08,9381
05/2026,2025-09,8543
05/2026,2025-10,9350
05/2026,2025-11,10692
05/2026,2025-12,6494
05/2026,2026-01,7654
05/2026,2026-02,8135
05/2026,2026-03,7980
04/2026,2026-04,8327
04/2026,2024-04,74
04/2026,2024-05,2429
04/2026,2024-06,2393
04/2026,2024-07,3872
04/2026,2024-08,4882
04/2026,2024-09,8067
04/2026,2024-10,6512
04/2026,2024-11,8006
04/2026,2024-12,6723
04/2026,2025-01,6852
04/2026,2025-02,6855
04/2026,2025-03,7951
04/2026,2025-04,7823
04/2026,2025-05,8117
04/2026,2025-06,6794
04/2026,2025-07,7653
04/2026,2025-08,9493
04/2026,2025-09,8607
04/2026,2025-10,9418
04/2026,2025-11,10772
04/2026,2025-12,6554
04/2026,2026-01,7732
04/2026,2026-02,8232
04/2026,2026-03,8045
03/2026,2024-03,29
03/2026,2024-04,2457
03/2026,2024-05,2423
03/2026,2024-06,2384
03/2026,2024-07,3880
03/2026,2024-08,4874
03/2026,2024-09,8093
03/2026,2024-10,6541
03/2026,2024-11,8069
03/2026,2024-12,6774
03/2026,2025-01,6881
03/2026,2025-02,6918
03/2026,2025-03,8004
03/2026,2025-04,7881
03/2026,2025-05,8169
03/2026,2025-06,6865
03/2026,2025-07,7707
03/2026,2025-08,9553
03/2026,2025-09,8680
03/2026,2025-10,9495
03/2026,2025-11,10850
03/2026,2025-12,6625
03/2026,2026-01,7826
03/2026,2026-02,8392
03/2026,2026-03,8169
02/2026,2024-02,201
02/2026,2024-03,2362
02/2026,2024-04,2465
02/2026,2024-05,2415
02/2026,2024-06,2377
02/2026,2024-07,3877
02/2026,2024-08,4870
02/2026,2024-09,8152
02/2026,2024-10,6557
02/2026,2024-11,8123
02/2026,2024-12,6811
02/2026,2025-01,6919
02/2026,2025-02,6972
02/2026,2025-03,8031
02/2026,2025-04,7934
02/2026,2025-05,8253
02/2026,2025-06,6935
02/2026,2025-07,7824
02/2026,2025-08,9646
02/2026,2025-09,8761
02/2026,2025-10,9585
02/2026,2025-11,10958
02/2026,2025-12,6708
02/2026,2026-01,7959
02/2026,2026-02,8564
01/2026,2024-01,107
01/2026,2024-02,2248
01/2026,2024-03,2364
01/2026,2024-04,2456
01/2026,2024-05,2383
01/2026,2024-06,2362
01/2026,2024-07,3851
01/2026,2024-08,4864
01/2026,2024-09,8186
01/2026,2024-10,6593
01/2026,2024-11,8170
01/2026,2024-12,6852
01/2026,2025-01,6972
01/2026,2025-02,7014
01/2026,2025-03,8102
01/2026,2025-04,8002
01/2026,2025-05,8347
01/2026,2025-06,7001
01/2026,2025-07,7920
01/2026,2025-08,9744
01/2026,2025-09,8857
01/2026,2025-10,9650
01/2026,2025-11,11084
01/2026,2025-12,6828
01/2026,2026-01,8062
12/2025,2023-12,2
12/2025,2024-01,2140
12/2025,2024-02,2138
12/2025,2024-03,2289
12/2025,2024-04,2379
12/2025,2024-05,2318
12/2025,2024-06,2319
12/2025,2024-07,3759
12/2025,2024-08,4735
12/2025,2024-09,8124
12/2025,2024-10,6583
12/2025,2024-11,8089
12/2025,2024-12,6763
12/2025,2025-01,6892
12/2025,2025-02,6913
12/2025,2025-03,8018
12/2025,2025-04,7965
12/2025,2025-05,8325
12/2025,2025-06,6964
12/2025,2025-07,7843
12/2025,2025-08,9646
12/2025,2025-09,8814
12/2025,2025-10,9613
12/2025,2025-11,11103
12/2025,2025-12,6868
11/2025,2023-11,78
11/2025,2023-12,2152
11/2025,2024-01,2132
11/2025,2024-02,2121
11/2025,2024-03,2282
11/2025,2024-04,2343
11/2025,2024-05,2316
11/2025,2024-06,2308
11/2025,2024-07,3727
11/2025,2024-08,4713
11/2025,2024-09,8132
11/2025,2024-10,6601
11/2025,2024-11,8138
11/2025,2024-12,6800
11/2025,2025-01,6928
11/2025,2025-02,6964
11/2025,2025-03,8086
11/2025,2025-04,7999
11/2025,2025-05,8375
11/2025,2025-06,7030
11/2025,2025-07,7920
11/2025,2025-08,9701
11/2025,2025-09,8881
11/2025,2025-10,9713
11/2025,2025-11,11214
10/2025,2023-10,68
10/2025,2023-11,1763
10/2025,2023-12,2187
10/2025,2024-01,2214
10/2025,2024-02,2323
10/2025,2024-03,2382
10/2025,2024-04,2443
10/2025,2024-05,2395
10/2025,2024-06,2341
10/2025,2024-07,3764
10/2025,2024-08,4813
10/2025,2024-09,8463
10/2025,2024-10,6856
10/2025,2024-11,8658
10/2025,2024-12,7352
10/2025,2025-01,7598
10/2025,2025-02,7779
10/2025,2025-03,8783
10/2025,2025-04,8533
10/2025,2025-05,8932
10/2025,2025-06,7517
10/2025,2025-07,8516
10/2025,2025-08,10486
10/2025,2025-09,9554
10/2025,2025-10,10346
09/2025,2023-09,43
09/2025,2023-10,1667
09/2025,2023-11,1723
09/2025,2023-12,2125
09/2025,2024-01,2145
09/2025,2024-02,2232
09/2025,2024-03,2286
09/2025,2024-04,2368
09/2025,2024-05,2289
09/2025,2024-06,2269
09/2025,2024-07,3671
09/2025,2024-08,4645
09/2025,2024-09,8405
09/2025,2024-10,6798
09/2025,2024-11,8534
09/2025,2024-12,7243
09/2025,2025-01,7462
09/2025,2025-02,7586
09/2025,2025-03,8626
09/2025,2025-04,8395
09/2025,2025-05,8776
09/2025,2025-06,7445
09/2025,2025-07,8513
09/2025,2025-08,10495
09/2025,2025-09,9597
08/2025,2023-08,71
08/2025,2023-09,1926
08/2025,2023-10,1621
08/2025,2023-11,1694
08/2025,2023-12,2103
08/2025,2024-01,2091
08/2025,2024-02,2174
08/2025,2024-03,2252
08/2025,2024-04,2319
08/2025,2024-05,2230
08/2025,2024-06,2236
08/2025,2024-07,3584
08/2025,2024-08,4551
08/2025,2024-09,8411
08/2025,2024-10,6821
08/2025,2024-11,8553
08/2025,2024-12,7267
08/2025,2025-01,7496
08/2025,2025-02,7607
08/2025,2025-03,8657
08/2025,2025-04,8416
08/2025,2025-05,8800
08/2025,2025-06,7474
08/2025,2025-07,8528
08/2025,2025-08,10544
07/2025,2023-07,48
07/2025,2023-08,1672
07/2025,2023-09,1908
07/2025,2023-10,1623
07/2025,2023-11,1656
07/2025,2023-12,2077
07/2025,2024-01,2145
07/2025,2024-02,2265
07/2025,2024-03,2301
07/2025,2024-04,2356
07/2025,2024-05,2273
07/2025,2024-06,2225
07/2025,2024-07,3537
07/2025,2024-08,4525
07/2025,2024-09,8692
07/2025,2024-10,7072
07/2025,2024-11,9042
07/2025,2024-12,7780
07/2025,2025-01,8078
07/2025,2025-02,8343
07/2025,2025-03,9266
07/2025,2025-04,8970
07/2025,2025-05,9446
07/2025,2025-06,7867
07/2025,2025-07,8868
06/2025,2023-06,38
06/2025,2023-07,1305
06/2025,2023-08,1619
06/2025,2023-09,1850
06/2025,2023-10,1554
06/2025,2023-11,1587
06/2025,2023-12,2002
06/2025,2024-01,2072
06/2025,2024-02,2184
06/2025,2024-03,2206
06/2025,2024-04,2294
06/2025,2024-05,2186
06/2025,2024-06,2151
06/2025,2024-07,3424
06/2025,2024-08,4377
06/2025,2024-09,8702
06/2025,2024-10,7088
06/2025,2024-11,9069
06/2025,2024-12,7784
06/2025,2025-01,8080
06/2025,2025-02,8336
06/2025,2025-03,9270
06/2025,2025-04,8961
06/2025,2025-05,9426
06/2025,2025-06,7902
05/2025,2023-03,1
05/2025,2023-05,35
05/2025,2023-06,1057
05/2025,2023-07,1255
05/2025,2023-08,1580
05/2025,2023-09,1823
05/2025,2023-10,1515
05/2025,2023-11,1550
05/2025,2023-12,1955
05/2025,2024-01,2014
05/2025,2024-02,2133
05/2025,2024-03,2131
05/2025,2024-04,2239
05/2025,2024-05,2116
05/2025,2024-06,2096
05/2025,2024-07,3338
05/2025,2024-08,4312
05/2025,2024-09,8732
05/2025,2024-10,7123
05/2025,2024-11,9134
05/2025,2024-12,7851
05/2025,2025-01,8139
05/2025,2025-02,8394
05/2025,2025-03,9348
05/2025,2025-04,9031
05/2025,2025-05,9517
04/2025,2023-03,2
04/2025,2023-04,21
04/2025,2023-05,1393
04/2025,2023-06,976
04/2025,2023-07,1201
04/2025,2023-08,1515
04/2025,2023-09,1761
04/2025,2023-10,1459
04/2025,2023-11,1480
04/2025,2023-12,1874
04/2025,2024-01,1941
04/2025,2024-02,2051
04/2025,2024-03,2066
04/2025,2024-04,2165
04/2025,2024-05,2025
04/2025,2024-06,2014
04/2025,2024-07,3209
04/2025,2024-08,4191
04/2025,2024-09,8772
04/2025,2024-10,7170
04/2025,2024-11,9213
04/2025,2024-12,7948
04/2025,2025-01,8223
04/2025,2025-02,8489
04/2025,2025-03,9484
04/2025,2025-04,9168
03/2025,2023-03,59
03/2025,2023-04,1165
03/2025,2023-05,1289
03/2025,2023-06,919
03/2025,2023-07,1140
03/2025,2023-08,1438
03/2025,2023-09,1665
03/2025,2023-10,1367
03/2025,2023-11,1383
03/2025,2023-12,1787
03/2025,2024-01,1826
03/2025,2024-02,1918
03/2025,2024-03,1963
03/2025,2024-04,2050
03/2025,2024-05,1925
03/2025,2024-06,1916
03/2025,2024-07,3062
03/2025,2024-08,3997
03/2025,2024-09,8828
03/2025,2024-10,7216
03/2025,2024-11,9267
03/2025,2024-12,7994
03/2025,2025-01,8287
03/2025,2025-02,8604
03/2025,2025-03,9584
02/2025,2023-02,48
02/2025,2023-03,1147
02/2025,2023-04,1050
02/2025,2023-05,1201
02/2025,2023-06,854
02/2025,2023-07,1066
02/2025,2023-08,1329
02/2025,2023-09,1550
02/2025,2023-10,1291
02/2025,2023-11,1295
02/2025,2023-12,1687
02/2025,2024-01,1702
02/2025,2024-02,1786
02/2025,2024-03,1825
02/2025,2024-04,1895
02/2025,2024-05,1804
02/2025,2024-06,1786
02/2025,2024-07,2904
02/2025,2024-08,3823
02/2025,2024-09,8916
02/2025,2024-10,7272
02/2025,2024-11,9322
02/2025,2024-12,8043
02/2025,2025-01,8381
02/2025,2025-02,8730
01/2025,2023-01,50
01/2025,2023-02,1084
01/2025,2023-03,1032
01/2025,2023-04,996
01/2025,2023-05,1115
01/2025,2023-06,770
01/2025,2023-07,969
01/2025,2023-08,1212
01/2025,2023-09,1447
01/2025,2023-10,1193
01/2025,2023-11,1201
01/2025,2023-12,1556
01/2025,2024-01,1590
01/2025,2024-02,1633
01/2025,2024-03,1643
01/2025,2024-04,1755
01/2025,2024-05,1669
01/2025,2024-06,1671
01/2025,2024-07,2737
01/2025,2024-08,3612
01/2025,2024-09,8990
01/2025,2024-10,7340
01/2025,2024-11,9401
01/2025,2024-12,8128
01/2025,2025-01,8474
12/2024,2022-12,8
12/2024,2023-01,473
12/2024,2023-02,562
12/2024,2023-03,741
12/2024,2023-04,740
12/2024,2023-05,839
12/2024,2023-06,586
12/2024,2023-07,752
12/2024,2023-08,941
12/2024,2023-09,1116
12/2024,2023-10,949
12/2024,2023-11,989
12/2024,2023-12,1212
12/2024,2024-01,1218
12/2024,2024-02,1239
12/2024,2024-03,1278
12/2024,2024-04,1405
12/2024,2024-05,1318
12/2024,2024-06,1341
12/2024,2024-07,2298
12/2024,2024-08,3046
12/2024,2024-09,8670
12/2024,2024-10,7147
12/2024,2024-11,9397
12/2024,2024-12,8213
11/2024,2022-12,520
11/2024,2022-11,13
11/2024,2023-01,387
11/2024,2023-02,497
11/2024,2023-03,663
11/2024,2023-04,634
11/2024,2023-05,689
11/2024,2023-06,498
11/2024,2023-07,638
11/2024,2023-08,798
11/2024,2023-09,971
11/2024,2023-10,820
11/2024,2023-11,836
11/2024,2023-12,997
11/2024,2024-01,1047
11/2024,2024-02,1047
11/2024,2024-03,1089
11/2024,2024-04,1204
11/2024,2024-05,1103
11/2024,2024-06,1144
11/2024,2024-07,1985
11/2024,2024-08,2642
11/2024,2024-09,8731
11/2024,2024-10,7180
11/2024,2024-11,9511
10/2024,2022-10,5
10/2024,2022-12,341
10/2024,2022-11,174
10/2024,2023-01,307
10/2024,2023-02,388
10/2024,2023-03,549
10/2024,2023-04,526
10/2024,2023-05,532
10/2024,2023-06,399
10/2024,2023-07,497
10/2024,2023-08,653
10/2024,2023-09,813
10/2024,2023-10,723
10/2024,2023-11,697
10/2024,2023-12,843
10/2024,2024-01,957
10/2024,2024-02,994
10/2024,2024-03,1002
10/2024,2024-04,1080
10/2024,2024-05,926
10/2024,2024-06,1050
10/2024,2024-07,1746
10/2024,2024-08,2396
10/2024,2024-09,10268
10/2024,2024-10,8447
09/2024,2022-09,1
09/2024,2022-10,112
09/2024,2022-12,222
09/2024,2022-11,103
09/2024,2023-01,200
09/2024,2023-02,237
09/2024,2023-03,324
09/2024,2023-04,342
09/2024,2023-05,349
09/2024,2023-06,262
09/2024,2023-07,300
09/2024,2023-08,413
09/2024,2023-09,508
09/2024,2023-10,434
09/2024,2023-11,447
09/2024,2023-12,495
09/2024,2024-01,590
09/2024,2024-02,612
09/2024,2024-03,626
09/2024,2024-04,670
09/2024,2024-05,580
09/2024,2024-06,680
09/2024,2024-07,1106
09/2024,2024-08,1661
09/2024,2024-09,10409
-,2026-07,3412
-,2026-08,3151
-,2026-06,4268
-,2022-09,30
-,2022-10,133
-,2022-12,761
-,2022-11,221
-,2026-05,4427
-,2023-01,947
-,2023-02,953
-,2023-03,1165
-,2023-04,1224
-,2023-05,1432
-,2026-04,4987
-,2023-06,1112
-,2023-07,1365
-,2023-08,1783
-,2023-09,2077
-,2023-10,1854
-,2023-11,1907
-,2023-12,2473
-,2024-01,2699
-,2024-02,2923
-,2024-03,2982
-,2024-04,3068
-,2024-05,2938
-,2024-06,3088
-,2024-07,4908
-,2024-08,6224
-,2024-09,8292
-,2024-10,6481
-,2024-11,7656
-,2024-12,6525
-,2025-01,6589
-,2025-02,6935
-,2025-03,7334
-,2025-04,6948
-,2025-05,7194
-,2025-06,5876
-,2025-07,6416
-,2025-08,7597
-,2025-09,6382
-,2025-10,6887
-,2025-11,7568
-,2025-12,4495
-,2026-01,5380
-,2026-02,5374
-,2026-03,5193
