AsAt,Status,n
08/2026,LODGED,8964
08/2026,CLOSED,208163
08/2026,INVITED,55
08/2026,SUBMITTED,180651
08/2026,HOLD,5419
07/2026,LODGED,11033
07/2026,CLOSED,195233
07/2026,INVITED,4597
07/2026,SUBMITTED,175250
07/2026,HOLD,5417
06/2026,LODGED,11904
06/2026,CLOSED,184964
06/2026,INVITED,6389
06/2026,SUBMITTED,172208
06/2026,HOLD,5328
05/2026,LODGED,7695
05/2026,CLOSED,179134
05/2026,INVITED,737
05/2026,SUBMITTED,176508
05/2026,HOLD,5201
04/2026,LODGED,9111
04/2026,CLOSED,171157
04/2026,INVITED,790
04/2026,SUBMITTED,172183
04/2026,HOLD,4986
03/2026,LODGED,10196
03/2026,CLOSED,163550
03/2026,INVITED,749
03/2026,SUBMITTED,167539
03/2026,HOLD,4838
02/2026,LODGED,11603
02/2026,CLOSED,154884
02/2026,INVITED,702
02/2026,SUBMITTED,163259
02/2026,HOLD,4665
01/2026,LODGED,12314
01/2026,CLOSED,147662
01/2026,INVITED,520
01/2026,SUBMITTED,158019
01/2026,HOLD,4516
12/2025,LODGED,12306
12/2025,CLOSED,138188
12/2025,INVITED,5672
12/2025,SUBMITTED,150602
12/2025,HOLD,4379
11/2025,LODGED,10876
11/2025,CLOSED,129495
11/2025,INVITED,8024
11/2025,SUBMITTED,146654
11/2025,HOLD,4248
10/2025,LODGED,9566
10/2025,CLOSED,122152
10/2025,INVITED,168
10/2025,SUBMITTED,146066
10/2025,HOLD,4089
09/2025,LODGED,9155
09/2025,CLOSED,114168
09/2025,INVITED,3551
09/2025,SUBMITTED,135338
09/2025,HOLD,3941
08/2025,LODGED,7546
08/2025,CLOSED,105347
08/2025,INVITED,5750
08/2025,SUBMITTED,127426
08/2025,HOLD,3888
07/2025,LODGED,7407
07/2025,CLOSED,96919
07/2025,INVITED,116
07/2025,SUBMITTED,124035
07/2025,HOLD,3732
06/2025,LODGED,8236
06/2025,CLOSED,89767
06/2025,INVITED,433
06/2025,SUBMITTED,115467
06/2025,HOLD,3342
05/2025,LODGED,7697
05/2025,CLOSED,84260
05/2025,INVITED,637
05/2025,SUBMITTED,108419
05/2025,HOLD,3018
04/2025,LODGED,7406
04/2025,CLOSED,76506
04/2025,INVITED,445
04/2025,SUBMITTED,99811
04/2025,HOLD,2699
03/2025,LODGED,7840
03/2025,CLOSED,68150
03/2025,INVITED,386
03/2025,SUBMITTED,90649
03/2025,HOLD,2342
02/2025,LODGED,8891
02/2025,CLOSED,57734
02/2025,INVITED,421
02/2025,SUBMITTED,80707
02/2025,HOLD,2053
01/2025,LODGED,9698
01/2025,CLOSED,47542
01/2025,INVITED,470
01/2025,SUBMITTED,71268
01/2025,HOLD,1770
12/2024,LODGED,9428
12/2024,CLOSED,35782
12/2024,INVITED,8234
12/2024,SUBMITTED,56478
12/2024,HOLD,1391
11/2024,LODGED,7417
11/2024,CLOSED,23594
11/2024,INVITED,10403
11/2024,SUBMITTED,45644
11/2024,HOLD,1085
10/2024,LODGED,3070
10/2024,CLOSED,14820
10/2024,INVITED,4963
10/2024,SUBMITTED,36313
10/2024,HOLD,662
09/2024,LODGED,2134
09/2024,CLOSED,7114
09/2024,INVITED,5944
09/2024,SUBMITTED,21683
09/2024,HOLD,333
-,LODGED,522
-,CLOSED,172
-,INVITED,17521
-,SUBMITTED,193634
-,HOLD,1580
