AsAt,Occupation,Score,only
08/2026,261312 Developer Programmer,65,384
08/2026,261312 Developer Programmer,75,635
08/2026,261312 Developer Programmer,70,535
08/2026,261312 Developer Programmer,80,545
08/2026,261312 Developer Programmer,95,341
08/2026,261312 Developer Programmer,90,539
08/2026,261312 Developer Programmer,85,572
08/2026,261312 Developer Programmer,55,38
08/2026,261312 Developer Programmer,60,91
08/2026,261312 Developer Programmer,50,16
08/2026,261312 Developer Programmer,110,2
08/2026,261312 Developer Programmer,100,131
08/2026,261312 Developer Programmer,105,11
08/2026,261312 Developer Programmer,45,3
08/2026,261312 Developer Programmer,115,1
08/2026,321211 Motor Mechanic (General),65,234
08/2026,321211 Motor Mechanic (General),75,232
08/2026,321211 Motor Mechanic (General),70,280
08/2026,321211 Motor Mechanic (General),80,134
08/2026,321211 Motor Mechanic (General),95,10
08/2026,321211 Motor Mechanic (General),90,32
08/2026,321211 Motor Mechanic (General),85,65
08/2026,321211 Motor Mechanic (General),55,21
08/2026,321211 Motor Mechanic (General),60,66
08/2026,321211 Motor Mechanic (General),50,6
08/2026,321211 Motor Mechanic (General),45,2
08/2026,321211 Motor Mechanic (General),30,1
08/2026,233211 Civil Engineer,65,647
08/2026,233211 Civil Engineer,75,738
08/2026,233211 Civil Engineer,70,727
08/2026,233211 Civil Engineer,80,648
08/2026,233211 Civil Engineer,95,130
08/2026,233211 Civil Engineer,90,293
08/2026,233211 Civil Engineer,85,534
08/2026,233211 Civil Engineer,55,67
08/2026,233211 Civil Engineer,60,160
08/2026,233211 Civil Engineer,50,25
08/2026,233211 Civil Engineer,110,1
08/2026,233211 Civil Engineer,100,34
08/2026,233211 Civil Engineer,105,1
08/2026,233211 Civil Engineer,40,1
08/2026,233211 Civil Engineer,45,9
08/2026,233211 Civil Engineer,30,1
08/2026,241111 Early Childhood (Pre-primary School) Teacher,65,885
08/2026,241111 Early Childhood (Pre-primary School) Teacher,75,1222
08/2026,241111 Early Childhood (Pre-primary School) Teacher,70,1376
08/2026,241111 Early Childhood (Pre-primary School) Teacher,80,1044
08/2026,241111 Early Childhood (Pre-primary School) Teacher,95,4
08/2026,241111 Early Childhood (Pre-primary School) Teacher,90,241
08/2026,241111 Early Childhood (Pre-primary School) Teacher,85,1226
08/2026,241111 Early Childhood (Pre-primary School) Teacher,55,70
08/2026,241111 Early Childhood (Pre-primary School) Teacher,60,268
08/2026,241111 Early Childhood (Pre-primary School) Teacher,50,25
08/2026,241111 Early Childhood (Pre-primary School) Teacher,40,2
08/2026,241111 Early Childhood (Pre-primary School) Teacher,45,5
08/2026,241111 Early Childhood (Pre-primary School) Teacher,30,1
08/2026,241111 Early Childhood (Pre-primary School) Teacher,125,1
08/2026,261111 ICT Business Analyst,65,415
08/2026,261111 ICT Business Analyst,75,687
08/2026,261111 ICT Business Analyst,70,519
08/2026,261111 ICT Business Analyst,80,704
08/2026,261111 ICT Business Analyst,95,379
08/2026,261111 ICT Business Analyst,90,662
08/2026,261111 ICT Business Analyst,85,577
08/2026,261111 ICT Business Analyst,55,47
08/2026,261111 ICT Business Analyst,60,98
08/2026,261111 ICT Business Analyst,50,14
08/2026,261111 ICT Business Analyst,110,2
08/2026,261111 ICT Business Analyst,100,150
08/2026,261111 ICT Business Analyst,105,10
08/2026,261111 ICT Business Analyst,45,2
08/2026,261313 Software Engineer,65,620
08/2026,261313 Software Engineer,75,883
08/2026,261313 Software Engineer,70,752
08/2026,261313 Software Engineer,80,696
08/2026,261313 Software Engineer,95,387
08/2026,261313 Software Engineer,90,684
08/2026,261313 Software Engineer,85,709
08/2026,261313 Software Engineer,55,76
08/2026,261313 Software Engineer,60,171
08/2026,261313 Software Engineer,50,18
08/2026,261313 Software Engineer,110,5
08/2026,261313 Software Engineer,100,148
08/2026,261313 Software Engineer,105,17
08/2026,261313 Software Engineer,45,7
08/2026,261313 Software Engineer,30,2
08/2026,261313 Software Engineer,25,1
08/2026,261313 Software Engineer,35,1
08/2026,221111 Accountant (General),65,426
08/2026,221111 Accountant (General),75,545
08/2026,221111 Accountant (General),70,581
08/2026,221111 Accountant (General),80,450
08/2026,221111 Accountant (General),95,187
08/2026,221111 Accountant (General),90,307
08/2026,221111 Accountant (General),85,410
08/2026,221111 Accountant (General),55,36
08/2026,221111 Accountant (General),60,97
08/2026,221111 Accountant (General),50,5
08/2026,221111 Accountant (General),110,1
08/2026,221111 Accountant (General),100,69
08/2026,221111 Accountant (General),105,4
08/2026,221111 Accountant (General),45,6
08/2026,221111 Accountant (General),35,1
08/2026,262112 ICT Security Specialist,65,184
08/2026,262112 ICT Security Specialist,75,260
08/2026,262112 ICT Security Specialist,70,225
08/2026,262112 ICT Security Specialist,80,258
08/2026,262112 ICT Security Specialist,95,130
08/2026,262112 ICT Security Specialist,90,232
08/2026,262112 ICT Security Specialist,85,223
08/2026,262112 ICT Security Specialist,55,26
08/2026,262112 ICT Security Specialist,60,43
08/2026,262112 ICT Security Specialist,50,5
08/2026,262112 ICT Security Specialist,100,44
08/2026,262112 ICT Security Specialist,105,1
08/2026,221213 External Auditor,65,243
