AsAt,OccGroup,Score,n,pool_doe_max,pool_doe_min
08/2026,2613 Software and Applications Programmers,65,1455,46267.208703703705,45537.77174768518
08/2026,2613 Software and Applications Programmers,75,2322,46267.208703703705,45540.55925925926
08/2026,2613 Software and Applications Programmers,70,1882,46267.208703703705,45536.175462962965
08/2026,2613 Software and Applications Programmers,80,2024,46267.208703703705,45536.033483796295
08/2026,2613 Software and Applications Programmers,95,1404,46267.208703703705,45555.46836805555
08/2026,2613 Software and Applications Programmers,90,2394,46267.208703703705,45540.41328703704
08/2026,2613 Software and Applications Programmers,85,2208,46267.208703703705,45538.959861111114
08/2026,2613 Software and Applications Programmers,55,155,46265.875023148146,45575.731724537036
08/2026,2613 Software and Applications Programmers,60,362,46267.208703703705,45546.56475694444
08/2026,2613 Software and Applications Programmers,50,50,46255.208032407405,45640.822060185186
08/2026,2613 Software and Applications Programmers,110,10,46265.211539351854,45927.449155092596
08/2026,2613 Software and Applications Programmers,100,586,46265.211539351854,45581.231574074074
08/2026,2613 Software and Applications Programmers,105,71,46266.21104166667,45698.76509259259
08/2026,2613 Software and Applications Programmers,45,13,46233.64084490741,45659.943032407406
08/2026,2613 Software and Applications Programmers,30,2,46039.65833333333,46039.22453703704
08/2026,2613 Software and Applications Programmers,25,1,46126.88978009259,46126.88978009259
08/2026,2613 Software and Applications Programmers,115,1,46108.204722222225,45858.20439814815
08/2026,2613 Software and Applications Programmers,35,1,46177.6391087963,46177.6391087963
08/2026,3212 Motor Mechanics,65,252,46267.208703703705,45535.62212962963
08/2026,3212 Motor Mechanics,75,247,46265.211539351854,45535.63778935185
08/2026,3212 Motor Mechanics,70,292,46265.211539351854,45537.65142361111
08/2026,3212 Motor Mechanics,80,138,46265.211539351854,45537.67900462963
08/2026,3212 Motor Mechanics,95,12,46248.20554398148,45728.70868055556
08/2026,3212 Motor Mechanics,90,32,46258.74085648148,45646.756527777776
08/2026,3212 Motor Mechanics,85,67,46258.205046296294,45589.77888888889
08/2026,3212 Motor Mechanics,55,24,46257.29574074074,45573.61130787037
08/2026,3212 Motor Mechanics,60,73,46266.21104166667,45581.9219212963
08/2026,3212 Motor Mechanics,50,7,46253.787523148145,45785.52940972222
08/2026,3212 Motor Mechanics,45,2,46184.2065625,45933.988483796296
08/2026,3212 Motor Mechanics,30,1,46081.20538194444,45973.33526620371
08/2026,2332 Civil Engineering Professionals,65,857,46267.208703703705,45536.906064814815
