StatusMonth,Score,n
2023-02,65,1
2025-01,65,168
2025-01,75,268
2025-01,70,237
2025-01,80,392
2025-01,95,226
2025-01,90,384
2025-01,85,329
2025-01,55,5
2025-01,60,9
2025-01,100,57
2025-01,105,8
2024-09,65,110
2024-09,75,215
2024-09,70,263
2024-09,80,206
2024-09,95,78
2024-09,90,176
2024-09,85,572
2024-09,55,4
2024-09,60,9
2024-09,110,4
2024-09,100,51
2024-09,105,17
2024-09,115,1
2026-06,65,275
2026-06,75,338
2026-06,70,366
2026-06,80,411
2026-06,95,286
2026-06,90,621
2026-06,85,1018
2026-06,55,10
2026-06,60,27
2026-06,100,81
2026-06,105,32
2026-06,115,2
2024-02,65,1
2024-02,75,1
2024-02,70,1
2024-02,85,1
2026-07,65,121
2026-07,75,145
2026-07,70,164
2026-07,80,168
2026-07,95,87
2026-07,90,243
2026-07,85,468
2026-07,55,7
2026-07,60,8
2026-07,110,2
2026-07,100,35
2026-07,105,7
2025-08,65,18
2025-08,75,51
2025-08,70,62
2025-08,80,51
2025-08,95,66
2025-08,90,150
2025-08,85,156
2025-08,55,2
2025-08,60,3
2025-08,110,3
2025-08,100,25
2025-08,105,5
2026-01,65,169
2026-01,75,277
2026-01,70,237
2026-01,80,353
2026-01,95,114
2026-01,90,196
2026-01,85,328
2026-01,55,9
2026-01,60,3
2026-01,110,1
2026-01,100,45
2026-01,105,9
2025-05,65,256
2025-05,75,392
2025-05,70,415
2025-05,80,410
2025-05,95,166
2025-05,90,311
2025-05,85,310
2025-05,55,6
2025-05,60,19
2025-05,110,1
2025-05,100,36
2025-05,105,2
2025-09,65,46
2025-09,75,138
2025-09,70,152
2025-09,80,81
2025-09,95,151
2025-09,90,260
2025-09,85,339
2025-09,55,1
2025-09,60,1
2025-09,110,8
2025-09,100,44
2025-09,105,22
2024-03,85,1
2024-12,65,171
2024-12,75,287
2024-12,70,246
2024-12,80,631
2024-12,95,385
2024-12,90,353
2024-12,85,361
2024-12,55,6
2024-12,60,18
2024-12,100,104
2024-12,105,10
2025-02,65,181
2025-02,75,325
2025-02,70,278
2025-02,80,228
2025-02,95,92
2025-02,90,225
2025-02,85,199
2025-02,55,5
2025-02,60,14
2025-02,100,18
2025-02,105,7
2024-11,65,215
2024-11,75,362
2024-11,70,309
2024-11,80,1059
2024-11,95,574
2024-11,90,345
2024-11,85,596
2024-11,55,5
2024-11,60,15
2024-11,110,4
2024-11,100,195
2024-11,105,28
2024-10,65,150
2024-10,75,231
2024-10,70,248
2024-10,80,311
2024-10,95,102
2024-10,90,216
2024-10,85,430
2024-10,55,2
2024-10,60,9
2024-10,110,2
2024-10,100,43
2024-10,105,9
2025-03,65,261
2025-03,75,378
2025-03,70,360
2025-03,80,328
2025-03,95,83
2025-03,90,178
2025-03,85,267
2025-03,55,8
2025-03,60,31
2025-03,100,14
2025-03,105,7
2026-08,65,122
2026-08,75,42
2026-08,70,67
2026-08,80,52
2026-08,95,18
2026-08,90,46
2026-08,85,69
2026-08,55,3
2026-08,60,4
2026-08,100,6
2026-08,105,1
2024-05,95,1
2024-05,85,1
2025-04,65,239
2025-04,75,305
2025-04,70,298
2025-04,80,260
2025-04,95,79
2025-04,90,149
2025-04,85,198
2025-04,55,9
2025-04,60,21
2025-04,110,1
2025-04,100,16
2025-04,105,6
2025-12,65,167
2025-12,75,259
2025-12,70,239
2025-12,80,484
2025-12,95,205
2025-12,90,395
2025-12,85,450
2025-12,55,2
2025-12,60,8
2025-12,110,1
2025-12,100,80
2025-12,105,11
2025-11,65,85
2025-11,75,117
2025-11,70,117
2025-11,80,307
2025-11,95,158
2025-11,90,305
2025-11,85,325
2025-11,55,1
2025-11,60,6
2025-11,110,1
2025-11,100,45
2025-11,105,11
2026-02,65,207
2026-02,75,227
2026-02,70,221
2026-02,80,274
2026-02,95,116
2026-02,90,154
2026-02,85,245
2026-02,55,3
2026-02,60,12
2026-02,110,1
2026-02,100,44
2026-02,105,14
2025-06,65,306
2025-06,75,511
2025-06,70,508
2025-06,80,447
2025-06,95,178
2025-06,90,261
2025-06,85,352
2025-06,55,7
2025-06,60,22
2025-06,110,1
2025-06,100,56
2025-06,105,8
2025-07,65,103
2025-07,75,137
2025-07,70,154
2025-07,80,148
2025-07,95,61
2025-07,90,116
2025-07,85,119
2025-07,55,11
2025-07,60,18
2025-07,110,1
2025-07,100,15
2025-07,105,7
2025-07,115,1
2025-10,65,63
2025-10,75,85
2025-10,70,118
2025-10,80,82
2025-10,95,90
2025-10,90,166
2025-10,85,181
2025-10,55,2
2025-10,60,6
2025-10,110,2
2025-10,100,40
2025-10,105,11
2025-10,115,1
2026-05,65,329
2026-05,75,336
2026-05,70,354
2026-05,80,380
2026-05,95,189
2026-05,90,292
2026-05,85,354
2026-05,55,8
2026-05,60,29
2026-05,110,4
2026-05,100,82
2026-05,105,40
2026-05,115,1
2026-04,65,325
2026-04,75,271
2026-04,70,311
2026-04,80,298
2026-04,95,191
2026-04,90,259
2026-04,85,272
2026-04,55,17
2026-04,60,35
2026-04,110,9
2026-04,100,86
2026-04,105,33
2024-06,75,1
2026-03,65,313
2026-03,75,326
2026-03,70,320
2026-03,80,375
2026-03,95,166
2026-03,90,236
2026-03,85,313
2026-03,55,17
2026-03,60,21
2026-03,110,5
2026-03,100,81
2026-03,105,29
2026-03,115,1
2023-07,80,3
2024-01,95,1
2024-01,105,1
2023-12,95,1
2023-12,85,1
