Visa,OccGroup,State,n
190SAS Skilled Australian Sponsored,2613 Software and Applications Programmers,VIC,10523
190SAS Skilled Australian Sponsored,2613 Software and Applications Programmers,ANY,3298
190SAS Skilled Australian Sponsored,2613 Software and Applications Programmers,NSW,15622
190SAS Skilled Australian Sponsored,2613 Software and Applications Programmers,QLD,4798
190SAS Skilled Australian Sponsored,2613 Software and Applications Programmers,SA,8859
190SAS Skilled Australian Sponsored,2613 Software and Applications Programmers,WA,7390
190SAS Skilled Australian Sponsored,2613 Software and Applications Programmers,ACT,6190
190SAS Skilled Australian Sponsored,2613 Software and Applications Programmers,TAS,2874
190SAS Skilled Australian Sponsored,2613 Software and Applications Programmers,NT,2771
190SAS Skilled Australian Sponsored,3212 Motor Mechanics,VIC,1014
190SAS Skilled Australian Sponsored,3212 Motor Mechanics,ANY,386
190SAS Skilled Australian Sponsored,3212 Motor Mechanics,NSW,825
190SAS Skilled Australian Sponsored,3212 Motor Mechanics,QLD,319
190SAS Skilled Australian Sponsored,3212 Motor Mechanics,SA,552
190SAS Skilled Australian Sponsored,3212 Motor Mechanics,WA,1294
190SAS Skilled Australian Sponsored,3212 Motor Mechanics,ACT,100
190SAS Skilled Australian Sponsored,3212 Motor Mechanics,TAS,196
190SAS Skilled Australian Sponsored,3212 Motor Mechanics,NT,98
190SAS Skilled Australian Sponsored,2332 Civil Engineering Professionals,VIC,3860
190SAS Skilled Australian Sponsored,2332 Civil Engineering Professionals,ANY,1379
190SAS Skilled Australian Sponsored,2332 Civil Engineering Professionals,NSW,4308
190SAS Skilled Australian Sponsored,2332 Civil Engineering Professionals,QLD,2856
190SAS Skilled Australian Sponsored,2332 Civil Engineering Professionals,SA,2621
190SAS Skilled Australian Sponsored,2332 Civil Engineering Professionals,WA,5727
190SAS Skilled Australian Sponsored,2332 Civil Engineering Professionals,ACT,1408
190SAS Skilled Australian Sponsored,2332 Civil Engineering Professionals,TAS,1039
190SAS Skilled Australian Sponsored,2332 Civil Engineering Professionals,NT,954
190SAS Skilled Australian Sponsored,2411 Early Childhood (Pre-primary School) Teachers,VIC,5609
190SAS Skilled Australian Sponsored,2411 Early Childhood (Pre-primary School) Teachers,ANY,715
190SAS Skilled Australian Sponsored,2411 Early Childhood (Pre-primary School) Teachers,NSW,4538
190SAS Skilled Australian Sponsored,2411 Early Childhood (Pre-primary School) Teachers,QLD,690
190SAS Skilled Australian Sponsored,2411 Early Childhood (Pre-primary School) Teachers,SA,572
190SAS Skilled Australian Sponsored,2411 Early Childhood (Pre-primary School) Teachers,WA,3022
190SAS Skilled Australian Sponsored,2411 Early Childhood (Pre-primary School) Teachers,ACT,316
190SAS Skilled Australian Sponsored,2411 Early Childhood (Pre-primary School) Teachers,TAS,368
190SAS Skilled Australian Sponsored,2411 Early Childhood (Pre-primary School) Teachers,NT,214
190SAS Skilled Australian Sponsored,2611 ICT Business and Systems Analysts,VIC,3966
190SAS Skilled Australian Sponsored,2611 ICT Business and Systems Analysts,ANY,1288
190SAS Skilled Australian Sponsored,2611 ICT Business and Systems Analysts,NSW,6142
190SAS Skilled Australian Sponsored,2611 ICT Business and Systems Analysts,QLD,1334
