AsAt,Score,n
08/2026,65,14
08/2026,75,15
08/2026,70,11
08/2026,80,10
08/2026,95,2
08/2026,90,2
08/2026,85,10
08/2026,55,2
08/2026,60,2
08/2026,100,3
08/2026,105,1
07/2026,65,13
07/2026,75,18
07/2026,70,12
07/2026,80,4
07/2026,95,1
07/2026,85,2
07/2026,55,2
07/2026,60,1
07/2026,100,2
06/2026,65,14
06/2026,75,18
06/2026,70,13
06/2026,80,1
06/2026,95,1
06/2026,85,1
06/2026,55,2
06/2026,60,1
06/2026,50,1
05/2026,65,13
05/2026,75,19
05/2026,70,13
05/2026,80,14
05/2026,95,4
05/2026,90,10
05/2026,85,9
05/2026,55,1
05/2026,60,1
05/2026,50,1
05/2026,100,3
05/2026,105,1
04/2026,65,14
04/2026,75,17
04/2026,70,12
04/2026,80,13
04/2026,95,3
04/2026,90,9
04/2026,85,8
04/2026,55,1
04/2026,60,1
04/2026,50,1
04/2026,100,1
03/2026,65,11
03/2026,75,17
03/2026,70,14
03/2026,80,14
03/2026,95,3
03/2026,90,7
03/2026,85,8
03/2026,55,1
03/2026,60,1
03/2026,50,1
03/2026,100,1
02/2026,65,12
02/2026,75,15
02/2026,70,13
02/2026,80,15
02/2026,95,3
02/2026,90,8
02/2026,85,7
02/2026,55,1
02/2026,60,1
02/2026,50,1
02/2026,100,1
01/2026,65,12
01/2026,75,15
01/2026,70,11
01/2026,80,17
01/2026,95,1
01/2026,90,6
01/2026,85,7
01/2026,55,1
01/2026,60,3
01/2026,50,2
12/2025,65,12
12/2025,75,16
12/2025,70,11
12/2025,80,13
12/2025,85,8
12/2025,55,1
12/2025,60,2
12/2025,50,2
11/2025,65,13
11/2025,75,18
11/2025,70,10
11/2025,80,12
11/2025,85,6
11/2025,55,1
11/2025,60,2
11/2025,50,2
10/2025,65,14
10/2025,75,15
10/2025,70,9
10/2025,80,12
10/2025,95,3
10/2025,90,13
10/2025,85,11
10/2025,55,2
10/2025,50,2
10/2025,115,1
09/2025,65,12
09/2025,75,16
09/2025,70,7
09/2025,80,9
09/2025,95,2
09/2025,90,12
09/2025,85,11
09/2025,55,3
09/2025,50,1
08/2025,65,10
08/2025,75,16
08/2025,70,6
08/2025,80,10
08/2025,90,5
08/2025,85,14
08/2025,55,3
08/2025,50,1
07/2025,65,8
07/2025,75,15
07/2025,70,7
07/2025,80,10
07/2025,95,4
07/2025,90,9
07/2025,85,13
07/2025,55,3
07/2025,50,1
07/2025,100,6
07/2025,115,1
06/2025,65,9
06/2025,75,14
06/2025,70,6
06/2025,80,9
06/2025,95,4
06/2025,90,7
06/2025,85,11
06/2025,55,2
06/2025,60,1
06/2025,50,1
06/2025,100,6
06/2025,115,1
05/2025,65,6
05/2025,75,19
05/2025,70,6
05/2025,80,7
05/2025,95,4
05/2025,90,7
05/2025,85,9
05/2025,55,2
05/2025,60,1
05/2025,50,1
05/2025,100,6
05/2025,115,1
04/2025,65,6
04/2025,75,13
04/2025,70,7
04/2025,80,7
04/2025,95,4
04/2025,90,3
04/2025,85,10
04/2025,55,1
04/2025,60,1
04/2025,50,1
04/2025,100,6
04/2025,115,1
03/2025,65,6
03/2025,75,15
03/2025,70,6
03/2025,80,7
03/2025,95,3
03/2025,90,2
03/2025,85,9
03/2025,55,1
03/2025,60,1
03/2025,50,1
03/2025,100,6
02/2025,65,6
02/2025,75,14
02/2025,70,6
02/2025,80,6
02/2025,95,1
02/2025,90,1
02/2025,85,11
02/2025,55,1
02/2025,60,1
02/2025,50,1
02/2025,100,5
01/2025,65,6
01/2025,75,13
01/2025,70,4
01/2025,80,5
01/2025,95,1
01/2025,90,1
01/2025,85,10
01/2025,55,1
01/2025,50,1
01/2025,100,5
12/2024,65,6
12/2024,75,11
12/2024,70,4
12/2024,80,4
12/2024,95,3
12/2024,85,7
12/2024,55,1
12/2024,100,1
11/2024,65,6
11/2024,75,8
11/2024,70,4
11/2024,80,2
11/2024,95,1
11/2024,85,7
10/2024,65,4
10/2024,75,8
10/2024,70,3
10/2024,80,1
10/2024,90,1
10/2024,85,5
09/2024,75,5
09/2024,70,2
09/2024,90,1
09/2024,85,1
-,65,13
-,75,32
-,70,22
-,80,33
-,95,7
-,90,25
-,85,28
-,55,3
-,60,3
-,50,1
-,100,4
-,105,2
-,35,1
