AsAt,Status,n
08/2026,LODGED,11572
08/2026,CLOSED,400199
08/2026,INVITED,156
08/2026,SUBMITTED,453612
08/2026,HOLD,5025
07/2026,LODGED,12109
07/2026,CLOSED,361905
07/2026,INVITED,1025
07/2026,SUBMITTED,453073
07/2026,HOLD,5312
06/2026,LODGED,12377
06/2026,CLOSED,331731
06/2026,INVITED,1871
06/2026,SUBMITTED,448737
06/2026,HOLD,5506
05/2026,LODGED,10954
05/2026,CLOSED,316529
05/2026,INVITED,1417
05/2026,SUBMITTED,441978
05/2026,HOLD,5486
04/2026,LODGED,11561
04/2026,CLOSED,299616
04/2026,INVITED,1014
04/2026,SUBMITTED,432663
04/2026,HOLD,5285
03/2026,LODGED,11611
03/2026,CLOSED,282790
03/2026,INVITED,1459
03/2026,SUBMITTED,419220
03/2026,HOLD,5096
02/2026,LODGED,11817
02/2026,CLOSED,262587
02/2026,INVITED,1688
02/2026,SUBMITTED,407988
02/2026,HOLD,5046
01/2026,LODGED,11789
01/2026,CLOSED,245007
01/2026,INVITED,875
01/2026,SUBMITTED,396389
01/2026,HOLD,4842
12/2025,LODGED,11619
12/2025,CLOSED,224959
12/2025,INVITED,1468
12/2025,SUBMITTED,383776
12/2025,HOLD,4764
11/2025,LODGED,11236
11/2025,CLOSED,208101
11/2025,INVITED,1729
11/2025,SUBMITTED,370005
11/2025,HOLD,4595
10/2025,LODGED,11105
10/2025,CLOSED,188744
10/2025,INVITED,323
10/2025,SUBMITTED,350076
10/2025,HOLD,4293
09/2025,LODGED,11094
09/2025,CLOSED,168176
09/2025,INVITED,799
09/2025,SUBMITTED,324157
09/2025,HOLD,4183
08/2025,LODGED,10946
08/2025,CLOSED,142572
08/2025,INVITED,812
08/2025,SUBMITTED,304232
08/2025,HOLD,4199
07/2025,LODGED,10731
07/2025,CLOSED,124830
07/2025,INVITED,417
07/2025,SUBMITTED,282712
07/2025,HOLD,4120
06/2025,LODGED,10139
06/2025,CLOSED,112619
06/2025,INVITED,1338
06/2025,SUBMITTED,262970
06/2025,HOLD,3879
05/2025,LODGED,8620
05/2025,CLOSED,102115
05/2025,INVITED,1315
05/2025,SUBMITTED,247289
05/2025,HOLD,3553
04/2025,LODGED,7455
04/2025,CLOSED,88406
04/2025,INVITED,1259
04/2025,SUBMITTED,228284
04/2025,HOLD,3188
03/2025,LODGED,6419
03/2025,CLOSED,76312
03/2025,INVITED,1282
03/2025,SUBMITTED,207440
03/2025,HOLD,2808
02/2025,LODGED,5246
02/2025,CLOSED,64142
02/2025,INVITED,1406
02/2025,SUBMITTED,184900
02/2025,HOLD,2564
01/2025,LODGED,4476
01/2025,CLOSED,54094
01/2025,INVITED,1100
01/2025,SUBMITTED,163088
01/2025,HOLD,2235
12/2024,LODGED,3673
12/2024,CLOSED,44561
12/2024,INVITED,2205
12/2024,SUBMITTED,140043
12/2024,HOLD,1903
11/2024,LODGED,2546
11/2024,CLOSED,33516
11/2024,INVITED,2607
11/2024,SUBMITTED,116010
11/2024,HOLD,1614
10/2024,LODGED,1289
10/2024,CLOSED,23283
10/2024,INVITED,1487
10/2024,SUBMITTED,88529
10/2024,HOLD,1028
09/2024,LODGED,620
09/2024,CLOSED,14823
09/2024,INVITED,1273
09/2024,SUBMITTED,51974
09/2024,HOLD,656
-,LODGED,229
-,CLOSED,167
-,INVITED,8347
-,SUBMITTED,365480
-,HOLD,2131
