Score,SubMonth,n
65,2026-07,1086
65,2026-08,1285
65,2026-06,1013
65,2026-05,1165
65,2026-04,1196
65,2024-08,15
65,2024-09,1068
65,2024-10,1037
65,2024-11,942
65,2024-12,827
65,2025-01,712
65,2025-02,694
65,2025-03,870
65,2025-04,787
65,2025-05,1005
65,2025-06,720
65,2025-07,921
65,2025-08,1144
65,2025-09,1213
65,2025-10,1488
65,2025-11,1221
65,2025-12,899
65,2026-01,1139
65,2026-02,952
65,2026-03,1166
75,2026-07,2238
75,2026-08,2465
75,2026-06,2317
75,2026-05,2304
75,2026-04,2840
75,2024-08,38
75,2024-09,3353
75,2024-10,2745
75,2024-11,2260
75,2024-12,2137
75,2025-01,1908
75,2025-02,2212
75,2025-03,2504
75,2025-04,2341
75,2025-05,2505
75,2025-06,1978
75,2025-07,2522
75,2025-08,2971
75,2025-09,2798
75,2025-10,3534
75,2025-11,3247
75,2025-12,2477
75,2026-01,2309
75,2026-02,2471
75,2026-03,2524
70,2026-07,2343
70,2026-08,2587
70,2026-06,2220
70,2026-05,2213
70,2026-04,2660
70,2024-08,61
70,2024-09,3221
70,2024-10,2495
70,2024-11,1952
70,2024-12,1759
70,2025-01,1821
70,2025-02,1973
70,2025-03,2208
70,2025-04,2139
70,2025-05,2309
70,2025-06,1652
70,2025-07,2316
70,2025-08,2878
70,2025-09,2694
70,2025-10,3519
70,2025-11,3009
70,2025-12,2444
70,2026-01,2324
70,2026-02,2080
70,2026-03,2378
80,2026-07,3563
80,2026-08,3642
80,2026-06,3143
80,2026-05,3299
80,2026-04,3563
80,2024-08,44
80,2024-09,4734
80,2024-10,3850
80,2024-11,3462
80,2024-12,3104
80,2025-01,2830
80,2025-02,3211
80,2025-03,3428
80,2025-04,3575
80,2025-05,3420
80,2025-06,3080
80,2025-07,3676
80,2025-08,4278
80,2025-09,4360
80,2025-10,5203
80,2025-11,4431
80,2025-12,3450
80,2026-01,3232
80,2026-02,3491
80,2026-03,3263
95,2026-07,1333
95,2026-08,1380
95,2026-06,1313
95,2026-05,1376
95,2026-04,1719
95,2024-08,31
95,2024-09,2183
95,2024-10,1722
95,2024-11,1633
95,2024-12,1356
95,2025-01,1261
95,2025-02,1298
95,2025-03,1629
95,2025-04,1573
95,2025-05,1623
95,2025-06,1387
95,2025-07,1548
95,2025-08,2000
95,2025-09,1852
95,2025-10,2229
95,2025-11,2016
95,2025-12,1371
95,2026-01,1339
95,2026-02,1493
95,2026-03,1613
90,2026-07,2391
90,2026-08,2087
90,2026-06,2041
90,2026-05,2270
90,2026-04,2623
90,2023-09,1
90,2024-08,63
90,2024-09,3620
90,2024-10,2843
90,2024-11,2861
90,2024-12,2516
90,2025-01,2334
90,2025-02,2384
90,2025-03,2494
90,2025-04,2665
90,2025-05,2390
90,2025-06,2278
90,2025-07,2700
90,2025-08,3203
90,2025-09,3213
90,2025-10,3866
90,2025-11,3380
90,2025-12,2433
90,2026-01,2466
90,2026-02,2577
90,2026-03,2530
85,2026-07,2466
85,2026-08,2540
85,2026-06,2410
85,2026-05,2628
85,2026-04,2983
85,2024-08,76
85,2024-09,4152
85,2024-10,3086
85,2024-11,2875
85,2024-12,2712
85,2025-01,2541
85,2025-02,2476
85,2025-03,2904
85,2025-04,2959
85,2025-05,2668
85,2025-06,2510
85,2025-07,2831
85,2025-08,3449
85,2025-09,3507
85,2025-10,4212
85,2025-11,3505
85,2025-12,2316
85,2026-01,2441
85,2026-02,2774
85,2026-03,2816
55,2026-07,64
55,2026-08,24
55,2026-06,56
55,2026-05,41
55,2026-04,48
55,2024-08,5
55,2024-09,136
55,2024-10,93
55,2024-11,65
55,2024-12,58
55,2025-01,132
55,2025-02,78
55,2025-03,89
55,2025-04,74
55,2025-05,65
55,2025-06,67
55,2025-07,75
55,2025-08,55
55,2025-09,67
55,2025-10,68
55,2025-11,80
55,2025-12,77
55,2026-01,52
55,2026-02,61
55,2026-03,64
60,2026-07,126
60,2026-08,153
60,2026-06,139
60,2026-05,116
60,2026-04,187
60,2024-08,17
60,2024-09,441
60,2024-10,331
60,2024-11,291
60,2024-12,219
60,2025-01,214
60,2025-02,199
60,2025-03,273
60,2025-04,252
60,2025-05,241
60,2025-06,256
60,2025-07,265
60,2025-08,241
60,2025-09,232
60,2025-10,301
60,2025-11,239
60,2025-12,183
60,2026-01,186
60,2026-02,144
60,2026-03,163
50,2026-07,8
50,2026-08,13
50,2026-06,5
50,2026-05,5
50,2026-04,13
50,2024-08,1
50,2024-09,8
50,2024-10,13
50,2024-11,9
50,2024-12,6
50,2025-01,16
50,2025-03,10
50,2025-04,7
50,2025-05,9
50,2025-06,9
50,2025-07,11
50,2025-08,3
50,2025-09,5
50,2025-10,9
50,2025-11,11
50,2025-12,4
50,2026-01,10
50,2026-02,17
50,2026-03,9
110,2026-07,149
110,2026-08,185
110,2026-06,146
110,2026-05,170
110,2026-04,198
110,2024-08,1
110,2024-09,166
110,2024-10,139
110,2024-11,143
110,2024-12,129
110,2025-01,161
110,2025-02,133
110,2025-03,149
110,2025-04,100
110,2025-05,158
110,2025-06,127
110,2025-07,149
110,2025-08,146
110,2025-09,236
110,2025-10,237
110,2025-11,281
110,2025-12,197
110,2026-01,240
110,2026-02,212
110,2026-03,191
100,2026-07,864
100,2026-08,739
100,2026-06,963
100,2026-05,924
100,2026-04,1034
100,2024-08,23
100,2024-09,1176
100,2024-10,1052
100,2024-11,1015
100,2024-12,882
100,2025-01,981
100,2025-02,962
100,2025-03,1021
100,2025-04,991
100,2025-05,942
100,2025-06,1099
100,2025-07,969
100,2025-08,1310
100,2025-09,1214
100,2025-10,1575
100,2025-11,1304
100,2025-12,947
100,2026-01,1056
100,2026-02,1084
100,2026-03,1117
105,2026-07,423
105,2026-08,471
