Visa,State,eois
190SAS Skilled Australian Sponsored,VIC,14478
190SAS Skilled Australian Sponsored,ANY,3781
190SAS Skilled Australian Sponsored,NSW,10552
190SAS Skilled Australian Sponsored,QLD,6360
190SAS Skilled Australian Sponsored,SA,7385
190SAS Skilled Australian Sponsored,WA,11433
190SAS Skilled Australian Sponsored,ACT,3086
190SAS Skilled Australian Sponsored,TAS,4562
190SAS Skilled Australian Sponsored,NT,2593
188BI Business Innovation,ANY,1
491SNR State or Territory Nominated - Regional,VIC,5439
491SNR State or Territory Nominated - Regional,ANY,2317
491SNR State or Territory Nominated - Regional,NSW,5113
491SNR State or Territory Nominated - Regional,QLD,3040
491SNR State or Territory Nominated - Regional,SA,4302
491SNR State or Territory Nominated - Regional,WA,6835
491SNR State or Territory Nominated - Regional,ACT,2367
491SNR State or Territory Nominated - Regional,TAS,2607
491SNR State or Territory Nominated - Regional,NT,2353
189PTS Points-Tested Stream,N/A,53936
491FSR Family Sponsored - Regional,N/A,817
188INV Investor,NT,1
188EV Entrepreneur,VIC,2
188EV Entrepreneur,ANY,4
188EV Entrepreneur,NSW,2
188EV Entrepreneur,QLD,2
188EV Entrepreneur,SA,1
188EV Entrepreneur,WA,2
188EV Entrepreneur,ACT,2
188EV Entrepreneur,TAS,1
188EV Entrepreneur,NT,2
