Score,SubMonth,n
65,2026-06,1
65,2024-10,3
65,2024-11,1
65,2024-12,1
65,2025-01,1
65,2025-02,1
65,2025-05,1
65,2025-07,1
65,2025-08,1
65,2025-09,1
65,2025-10,1
65,2026-03,1
75,2026-07,2
75,2026-04,2
75,2025-01,1
75,2025-02,1
75,2025-06,1
75,2025-09,1
75,2025-10,2
75,2025-11,3
75,2026-01,1
75,2026-03,1
70,2026-06,1
70,2024-12,1
70,2025-05,2
70,2025-06,1
70,2025-08,1
70,2025-09,1
70,2025-10,1
70,2025-11,1
70,2026-01,1
70,2026-02,1
80,2026-08,3
80,2026-05,1
80,2024-09,1
80,2024-10,1
80,2025-01,1
80,2025-05,1
80,2025-09,1
80,2026-03,1
95,2026-06,1
95,2026-02,1
90,2026-08,1
90,2025-07,1
85,2026-07,1
85,2026-08,2
85,2026-05,1
85,2024-09,1
85,2024-12,1
85,2025-10,1
85,2025-11,1
85,2025-12,1
85,2026-02,1
55,2026-06,1
55,2025-02,1
60,2026-08,1
60,2025-11,1
100,2026-07,2
100,2026-05,1
105,2026-05,1
