AsAt,Score,n
08/2026,65,29846
08/2026,75,33484
08/2026,70,33275
08/2026,80,23947
08/2026,95,5979
08/2026,90,12682
08/2026,85,19061
08/2026,55,5705
08/2026,60,11364
08/2026,50,2155
08/2026,110,27
08/2026,100,1967
08/2026,105,209
08/2026,40,206
08/2026,45,641
08/2026,30,29
08/2026,25,7
08/2026,120,5
08/2026,115,5
08/2026,125,4
08/2026,35,52
08/2026,20,1
07/2026,65,29242
07/2026,75,32972
07/2026,70,32979
07/2026,80,22103
07/2026,95,5691
07/2026,90,12133
07/2026,85,18332
07/2026,55,5527
07/2026,60,11152
07/2026,50,2119
07/2026,110,19
07/2026,100,1891
07/2026,105,184
07/2026,40,202
07/2026,45,607
07/2026,30,29
07/2026,25,7
07/2026,120,4
07/2026,115,2
07/2026,125,3
07/2026,35,52
06/2026,65,29049
06/2026,75,32660
06/2026,70,32835
06/2026,80,21244
06/2026,95,5506
06/2026,90,11910
06/2026,85,17827
06/2026,55,5399
06/2026,60,10916
06/2026,50,2060
06/2026,110,16
06/2026,100,1749
06/2026,105,166
06/2026,40,195
06/2026,45,585
06/2026,30,27
06/2026,25,8
06/2026,120,3
06/2026,115,3
06/2026,125,2
06/2026,35,48
05/2026,65,28868
05/2026,75,32347
05/2026,70,32544
05/2026,80,24807
05/2026,95,5536
05/2026,90,12422
05/2026,85,19616
05/2026,55,5119
05/2026,60,10506
05/2026,50,1981
05/2026,110,18
05/2026,100,1729
05/2026,105,167
05/2026,40,188
05/2026,45,576
05/2026,30,27
05/2026,25,6
05/2026,120,3
05/2026,115,3
05/2026,125,2
05/2026,35,43
04/2026,65,28149
04/2026,75,31644
04/2026,70,32093
04/2026,80,24084
04/2026,95,5352
04/2026,90,12218
04/2026,85,19095
04/2026,55,4903
04/2026,60,10125
04/2026,50,1922
04/2026,110,17
04/2026,100,1628
04/2026,105,156
04/2026,40,169
04/2026,45,547
04/2026,30,26
04/2026,25,4
04/2026,120,3
04/2026,115,3
04/2026,125,1
04/2026,35,44
03/2026,65,27492
03/2026,75,30922
03/2026,70,31410
03/2026,80,23487
03/2026,95,5198
03/2026,90,11973
03/2026,85,18501
03/2026,55,4643
03/2026,60,9630
03/2026,50,1832
03/2026,110,14
03/2026,100,1548
03/2026,105,147
03/2026,40,167
03/2026,45,497
03/2026,30,25
03/2026,25,3
03/2026,120,3
03/2026,115,3
03/2026,125,1
03/2026,35,43
02/2026,65,27053
02/2026,75,30420
02/2026,70,30757
02/2026,80,22788
02/2026,95,5075
02/2026,90,11685
02/2026,85,17676
02/2026,55,4415
02/2026,60,9340
02/2026,50,1779
02/2026,110,17
02/2026,100,1423
02/2026,105,142
02/2026,40,150
02/2026,45,467
02/2026,30,24
02/2026,25,3
02/2026,120,3
02/2026,115,3
02/2026,125,1
02/2026,35,38
01/2026,65,26384
01/2026,75,29614
01/2026,70,30250
01/2026,80,21767
01/2026,95,4840
01/2026,90,11334
01/2026,85,16812
01/2026,55,4286
01/2026,60,8995
01/2026,50,1696
01/2026,110,11
01/2026,100,1264
01/2026,105,131
01/2026,40,126
01/2026,45,440
01/2026,30,24
01/2026,25,3
01/2026,120,3
01/2026,115,3
01/2026,125,1
01/2026,35,34
01/2026,20,1
12/2025,65,25851
12/2025,75,28182
12/2025,70,29601
12/2025,80,20325
12/2025,95,4477
12/2025,90,10508
12/2025,85,15443
12/2025,55,4079
12/2025,60,8688
12/2025,50,1599
12/2025,110,12
12/2025,100,1120
12/2025,105,113
12/2025,40,120
12/2025,45,430
12/2025,30,17
12/2025,25,3
12/2025,120,3
12/2025,115,3
12/2025,125,1
12/2025,35,27
11/2025,65,25683
11/2025,75,27566
11/2025,70,29104
11/2025,80,19553
11/2025,95,4241
11/2025,90,10011
11/2025,85,14839
11/2025,55,3953
11/2025,60,8467
11/2025,50,1527
11/2025,110,8
11/2025,100,1034
11/2025,105,106
11/2025,40,109
11/2025,45,406
11/2025,30,12
11/2025,25,2
11/2025,120,3
11/2025,115,4
11/2025,125,1
11/2025,35,25
10/2025,65,24556
10/2025,75,27755
10/2025,70,27940
10/2025,80,20486
10/2025,95,4058
10/2025,90,10512
10/2025,85,16064
10/2025,55,3746
10/2025,60,7977
10/2025,50,1377
10/2025,110,11
10/2025,100,958
10/2025,105,96
10/2025,40,103
10/2025,45,387
10/2025,30,8
10/2025,25,1
10/2025,120,4
10/2025,115,4
10/2025,125,1
10/2025,35,22
09/2025,65,23126
09/2025,75,26228
09/2025,70,26383
09/2025,80,18652
09/2025,95,3580
09/2025,90,9385
09/2025,85,14439
09/2025,55,3441
09/2025,60,7447
09/2025,50,1261
09/2025,110,5
09/2025,100,814
09/2025,105,85
09/2025,40,96
09/2025,45,363
09/2025,30,6
09/2025,25,1
09/2025,120,3
09/2025,115,3
09/2025,125,1
09/2025,35,19
08/2025,65,22240
08/2025,75,24879
08/2025,70,25066
08/2025,80,17331
08/2025,95,3131
08/2025,90,8621
08/2025,85,13541
08/2025,55,3252
08/2025,60,6927
08/2025,50,1185
08/2025,110,2
08/2025,100,721
08/2025,105,73
08/2025,40,91
08/2025,45,336
08/2025,30,5
08/2025,25,1
08/2025,120,3
08/2025,115,3
08/2025,125,1
08/2025,35,17
07/2025,65,21389
07/2025,75,23212
07/2025,70,23965
07/2025,80,17829
07/2025,95,3081
07/2025,90,8787
07/2025,85,13958
07/2025,55,3004
07/2025,60,6466
07/2025,50,1090
07/2025,110,8
07/2025,100,734
07/2025,105,85
07/2025,40,82
07/2025,45,314
07/2025,30,5
07/2025,25,1
07/2025,120,3
07/2025,115,4
07/2025,125,1
07/2025,35,17
06/2025,65,20343
06/2025,75,21723
06/2025,70,22395
06/2025,80,16484
06/2025,95,2776
06/2025,90,8068
06/2025,85,12767
06/2025,55,2768
06/2025,60,5981
06/2025,50,1060
06/2025,110,10
06/2025,100,616
06/2025,105,73
06/2025,40,72
06/2025,45,302
06/2025,30,4
06/2025,25,1
06/2025,120,3
06/2025,115,3
06/2025,125,1
06/2025,35,17
05/2025,65,19345
05/2025,75,20460
05/2025,70,21183
05/2025,80,15405
05/2025,95,2520
05/2025,90,7478
05/2025,85,11830
05/2025,55,2616
05/2025,60,5638
05/2025,50,1009
05/2025,110,10
05/2025,100,504
05/2025,105,49
05/2025,40,66
05/2025,45,279
05/2025,30,4
05/2025,25,1
05/2025,120,2
05/2025,115,4
05/2025,125,1
05/2025,35,15
04/2025,65,18038
04/2025,75,18775
04/2025,70,19581
04/2025,80,14027
04/2025,95,2291
04/2025,90,6845
04/2025,85,10839
04/2025,55,2444
04/2025,60,5200
04/2025,50,937
04/2025,110,10
04/2025,100,432
04/2025,105,38
04/2025,40,62
04/2025,45,266
04/2025,30,6
04/2025,25,1
04/2025,120,2
04/2025,115,4
04/2025,125,1
04/2025,35,12
03/2025,65,16474
03/2025,75,17096
03/2025,70,17856
03/2025,80,12610
03/2025,95,1976
03/2025,90,6341
03/2025,85,9762
03/2025,55,2227
03/2025,60,4728
03/2025,50,873
03/2025,110,9
03/2025,100,361
03/2025,105,34
03/2025,40,56
03/2025,45,225
03/2025,30,4
03/2025,25,1
03/2025,115,3
03/2025,125,1
03/2025,35,11
03/2025,20,1
02/2025,65,14784
02/2025,75,15224
02/2025,70,15956
02/2025,80,11133
02/2025,95,1760
02/2025,90,5627
02/2025,85,8567
02/2025,55,2030
02/2025,60,4269
02/2025,50,771
02/2025,110,7
02/2025,100,289
02/2025,105,27
02/2025,40,48
02/2025,45,195
02/2025,30,4
02/2025,25,1
02/2025,115,3
02/2025,125,1
02/2025,35,10
02/2025,20,1
01/2025,65,13135
01/2025,75,13244
01/2025,70,14158
01/2025,80,9702
01/2025,95,1804
01/2025,90,5014
01/2025,85,7432
01/2025,55,1799
01/2025,60,3803
01/2025,50,672
01/2025,110,7
01/2025,100,247
01/2025,105,18
01/2025,40,35
01/2025,45,183
01/2025,30,3
01/2025,25,1
01/2025,115,3
01/2025,125,1
01/2025,35,7
12/2024,65,11435
12/2024,75,9868
12/2024,70,12034
12/2024,80,7739
12/2024,95,583
12/2024,90,2949
12/2024,85,6163
12/2024,55,1585
12/2024,60,3284
12/2024,50,571
12/2024,110,2
12/2024,100,84
12/2024,105,7
12/2024,40,29
12/2024,45,135
12/2024,30,3
12/2024,25,1
12/2024,125,1
12/2024,35,5
11/2024,65,9639
11/2024,75,7761
11/2024,70,10095
11/2024,80,6204
11/2024,95,340
11/2024,90,2093
11/2024,85,4867
11/2024,55,1310
11/2024,60,2663
11/2024,50,484
11/2024,110,1
11/2024,100,36
11/2024,105,3
