StatusMonth,OccGroup,Score,n
2024-09,2613 Software and Applications Programmers,95,66
2024-09,2613 Software and Applications Programmers,90,18
2024-09,2613 Software and Applications Programmers,100,73
2024-09,2613 Software and Applications Programmers,105,8
2024-09,2613 Software and Applications Programmers,120,1
2024-09,3212 Motor Mechanics,95,2
2024-09,3212 Motor Mechanics,90,2
2024-09,2332 Civil Engineering Professionals,75,71
2024-09,2332 Civil Engineering Professionals,80,173
2024-09,2332 Civil Engineering Professionals,95,63
2024-09,2332 Civil Engineering Professionals,90,58
2024-09,2332 Civil Engineering Professionals,85,107
2024-09,2332 Civil Engineering Professionals,100,15
2024-09,2332 Civil Engineering Professionals,105,3
2024-09,2411 Early Childhood (Pre-primary School) Teachers,75,11
2024-09,2411 Early Childhood (Pre-primary School) Teachers,80,186
2024-09,2411 Early Childhood (Pre-primary School) Teachers,90,6
2024-09,2411 Early Childhood (Pre-primary School) Teachers,85,58
2024-09,2611 ICT Business and Systems Analysts,95,1
2024-09,2611 ICT Business and Systems Analysts,110,1
2024-09,2611 ICT Business and Systems Analysts,100,47
2024-09,2611 ICT Business and Systems Analysts,105,3
2024-09,2211 Accountants,95,26
2024-09,2211 Accountants,90,9
2024-09,2211 Accountants,110,1
2024-09,2211 Accountants,100,101
2024-09,2211 Accountants,105,13
2024-09,"2621 Database and Systems Administrators, and ICT Security Specialists",100,8
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",95,48
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,54
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",100,8
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",105,2
2024-09,2345 Life Scientists,95,10
2024-09,2345 Life Scientists,90,5
2024-09,2345 Life Scientists,110,1
2024-09,2345 Life Scientists,100,3
2024-09,2345 Life Scientists,105,1
2024-09,"2335 Industrial, Mechanical and Production Engineers",95,54
2024-09,"2335 Industrial, Mechanical and Production Engineers",90,58
2024-09,"2335 Industrial, Mechanical and Production Engineers",100,6
2024-09,2339 Other Engineering Professionals,95,61
2024-09,2339 Other Engineering Professionals,90,35
2024-09,2339 Other Engineering Professionals,100,9
2024-09,2339 Other Engineering Professionals,105,4
2024-09,2341 Agricultural and Forestry Scientists,95,3
2024-09,2341 Agricultural and Forestry Scientists,100,4
2024-09,2341 Agricultural and Forestry Scientists,105,1
2024-09,2544 Registered Nurses,75,40
2024-09,2544 Registered Nurses,80,215
2024-09,2544 Registered Nurses,90,5
2024-09,2544 Registered Nurses,85,49
2024-09,2544 Registered Nurses,100,1
2024-09,2544 Registered Nurses,115,1
2024-09,3513 Chefs,95,3
2024-09,3513 Chefs,90,1
2024-09,2334 Electronics Engineers,95,12
2024-09,2334 Electronics Engineers,90,12
2024-09,2334 Electronics Engineers,100,2
2024-09,2334 Electronics Engineers,105,2
2024-09,2631 Computer Network Professionals,100,18
2024-09,2631 Computer Network Professionals,105,1
2024-09,"2342 Chemists, and Food and Wine Scientists",95,6
2024-09,"2342 Chemists, and Food and Wine Scientists",90,1
2024-09,"2342 Chemists, and Food and Wine Scientists",100,1
2024-09,"2342 Chemists, and Food and Wine Scientists",105,1
2024-09,2713 Solicitors,95,8
2024-09,2713 Solicitors,90,7
2024-09,2331 Chemical and Materials Engineers,95,16
2024-09,2331 Chemical and Materials Engineers,90,10
2024-09,2331 Chemical and Materials Engineers,100,4
2024-09,2331 Chemical and Materials Engineers,105,3
2024-09,2333 Electrical Engineers,95,25
2024-09,2333 Electrical Engineers,90,20
2024-09,2333 Electrical Engineers,110,1
2024-09,2333 Electrical Engineers,100,4
2024-09,2321 Architects and Landscape Architects,75,62
2024-09,2321 Architects and Landscape Architects,80,140
2024-09,2321 Architects and Landscape Architects,95,6
2024-09,2321 Architects and Landscape Architects,90,40
2024-09,2321 Architects and Landscape Architects,85,86
2024-09,2321 Architects and Landscape Architects,105,1
2024-09,2531 General Practitioners and Resident Medical officers,75,6
2024-09,2531 General Practitioners and Resident Medical officers,80,61
2024-09,2531 General Practitioners and Resident Medical officers,90,8
2024-09,2531 General Practitioners and Resident Medical officers,85,27
2024-09,2531 General Practitioners and Resident Medical officers,110,1
2024-09,2531 General Practitioners and Resident Medical officers,100,1
2024-09,2247 Management and Organisation Analysts,95,2
2024-09,2247 Management and Organisation Analysts,90,1
2024-09,2347 Veterinarians,95,4
2024-09,2347 Veterinarians,115,2
2024-09,2414 Secondary School Teachers,75,8
2024-09,2414 Secondary School Teachers,80,63
2024-09,2414 Secondary School Teachers,85,16
2024-09,1341 Child Care Centre Managers,80,1
2024-09,1341 Child Care Centre Managers,90,1
2024-09,1341 Child Care Centre Managers,85,1
2024-09,"2241 Actuaries, Mathematicians and Statisticians",95,7
2024-09,"2241 Actuaries, Mathematicians and Statisticians",90,3
2024-09,"2241 Actuaries, Mathematicians and Statisticians",105,1
2024-09,3331 Glaziers,65,1
2024-09,3331 Glaziers,70,2
2024-09,2421 University Lecturers and Tutors,95,13
2024-09,2421 University Lecturers and Tutors,90,4
2024-09,2421 University Lecturers and Tutors,100,12
2024-09,2421 University Lecturers and Tutors,105,1
2024-09,2633 Telecommunications Engineering Professionals,95,9
2024-09,2633 Telecommunications Engineering Professionals,90,15
2024-09,3122 Civil Engineering Draftspersons and Technicians,75,97
2024-09,3122 Civil Engineering Draftspersons and Technicians,80,195
2024-09,3122 Civil Engineering Draftspersons and Technicians,95,2
2024-09,3122 Civil Engineering Draftspersons and Technicians,90,15
2024-09,3122 Civil Engineering Draftspersons and Technicians,85,51
2024-09,2322 Cartographers and Surveyors,95,2
2024-09,2322 Cartographers and Surveyors,100,2
2024-09,2245 Land Economists and Valuers,95,1
2024-09,2336 Mining Engineers,95,2
2024-09,2336 Mining Engineers,100,2
2024-09,2336 Mining Engineers,105,1
2024-09,2336 Mining Engineers,115,1
2024-09,2612 Multimedia Specialists and Web Developers,95,4
2024-09,2612 Multimedia Specialists and Web Developers,90,3
2024-09,3223 Structural Steel and Welding Trades Workers,75,1
2024-09,3223 Structural Steel and Welding Trades Workers,80,13
2024-09,3223 Structural Steel and Welding Trades Workers,90,2
2024-09,3223 Structural Steel and Welding Trades Workers,85,8
2024-09,2349 Other Natural and Physical Science Professionals,95,2
2024-09,2349 Other Natural and Physical Science Professionals,100,1
2024-09,1331 Construction Managers,75,74
2024-09,1331 Construction Managers,80,120
2024-09,1331 Construction Managers,95,1
2024-09,1331 Construction Managers,90,12
2024-09,1331 Construction Managers,85,38
2024-09,1331 Construction Managers,100,2
2024-09,2343 Environmental Scientists,95,3
