OccGroup,Score,DoEMonth,n
2613 Software and Applications Programmers,65,2026-09,7
2613 Software and Applications Programmers,65,2026-08,414
2613 Software and Applications Programmers,65,2026-07,379
2613 Software and Applications Programmers,65,2026-06,402
2613 Software and Applications Programmers,65,2024-09,36
2613 Software and Applications Programmers,65,2026-05,287
2613 Software and Applications Programmers,65,2024-10,75
2613 Software and Applications Programmers,65,2024-12,109
2613 Software and Applications Programmers,65,2024-11,75
2613 Software and Applications Programmers,65,2025-01,86
2613 Software and Applications Programmers,65,2025-03,107
2613 Software and Applications Programmers,65,2025-02,82
2613 Software and Applications Programmers,65,2025-04,106
2613 Software and Applications Programmers,65,2025-05,145
2613 Software and Applications Programmers,65,2025-06,153
2613 Software and Applications Programmers,65,2025-07,153
2613 Software and Applications Programmers,65,2025-08,214
2613 Software and Applications Programmers,65,2025-09,177
2613 Software and Applications Programmers,65,2025-10,228
2613 Software and Applications Programmers,65,2025-12,180
2613 Software and Applications Programmers,65,2026-04,251
2613 Software and Applications Programmers,65,2025-11,242
2613 Software and Applications Programmers,65,2026-01,280
2613 Software and Applications Programmers,65,2026-02,233
2613 Software and Applications Programmers,65,2026-03,221
2613 Software and Applications Programmers,75,2026-09,54
2613 Software and Applications Programmers,75,2026-08,723
2613 Software and Applications Programmers,75,2026-07,597
2613 Software and Applications Programmers,75,2026-06,512
2613 Software and Applications Programmers,75,2024-09,68
2613 Software and Applications Programmers,75,2026-05,456
2613 Software and Applications Programmers,75,2024-10,51
2613 Software and Applications Programmers,75,2024-12,83
2613 Software and Applications Programmers,75,2024-11,116
2613 Software and Applications Programmers,75,2025-01,120
2613 Software and Applications Programmers,75,2025-03,164
2613 Software and Applications Programmers,75,2025-02,122
2613 Software and Applications Programmers,75,2025-04,117
2613 Software and Applications Programmers,75,2025-05,195
2613 Software and Applications Programmers,75,2025-06,193
2613 Software and Applications Programmers,75,2025-07,208
2613 Software and Applications Programmers,75,2025-08,340
2613 Software and Applications Programmers,75,2025-09,353
2613 Software and Applications Programmers,75,2025-10,331
2613 Software and Applications Programmers,75,2025-12,294
2613 Software and Applications Programmers,75,2026-04,358
2613 Software and Applications Programmers,75,2025-11,346
2613 Software and Applications Programmers,75,2026-01,311
2613 Software and Applications Programmers,75,2026-02,339
