AsAt,Score,n
08/2026,65,49674
08/2026,75,71850
08/2026,70,81045
08/2026,80,70868
08/2026,95,20333
08/2026,90,35212
08/2026,85,47433
08/2026,55,6685
08/2026,60,18584
08/2026,50,1729
08/2026,110,223
08/2026,100,7438
08/2026,105,2217
08/2026,40,113
08/2026,45,521
08/2026,30,10
08/2026,25,2
08/2026,120,4
08/2026,115,35
08/2026,125,3
08/2026,35,37
08/2026,130,3
07/2026,65,49350
07/2026,75,71973
07/2026,70,80611
07/2026,80,71330
07/2026,95,20076
07/2026,90,35437
07/2026,85,46573
07/2026,55,6496
07/2026,60,17948
07/2026,50,1683
07/2026,110,204
07/2026,100,7228
07/2026,105,2136
07/2026,40,115
07/2026,45,507
07/2026,30,9
07/2026,25,1
07/2026,120,1
07/2026,115,25
07/2026,125,3
07/2026,35,36
07/2026,130,2
06/2026,65,48759
06/2026,75,71463
06/2026,70,79795
06/2026,80,70853
06/2026,95,19721
06/2026,90,34736
06/2026,85,45892
06/2026,55,6343
06/2026,60,17403
06/2026,50,1605
06/2026,110,188
06/2026,100,7038
06/2026,105,1957
06/2026,40,109
06/2026,45,497
06/2026,30,10
06/2026,25,1
06/2026,120,2
06/2026,115,22
06/2026,125,2
06/2026,35,33
06/2026,130,1
05/2026,65,47798
05/2026,75,70471
05/2026,70,79118
05/2026,80,70159
05/2026,95,19632
05/2026,90,35023
05/2026,85,47319
05/2026,55,6136
05/2026,60,16576
05/2026,50,1573
05/2026,110,186
05/2026,100,6951
05/2026,105,1899
05/2026,40,108
05/2026,45,462
05/2026,30,7
05/2026,25,1
05/2026,120,3
05/2026,115,15
05/2026,125,2
05/2026,35,33
05/2026,130,1
04/2026,65,47349
04/2026,75,69738
04/2026,70,77587
04/2026,80,69027
04/2026,95,19367
04/2026,90,34547
04/2026,85,46588
04/2026,55,5846
04/2026,60,15758
04/2026,50,1473
04/2026,110,178
04/2026,100,6777
04/2026,105,1844
04/2026,40,105
04/2026,45,402
04/2026,30,4
04/2026,25,1
04/2026,120,3
04/2026,115,18
04/2026,125,2
04/2026,35,30
04/2026,130,1
03/2026,65,45878
03/2026,75,68263
03/2026,70,75580
03/2026,80,67544
03/2026,95,18948
03/2026,90,33838
03/2026,85,45670
03/2026,55,5569
03/2026,60,15011
03/2026,50,1373
03/2026,110,168
03/2026,100,6632
03/2026,105,1768
03/2026,40,97
03/2026,45,395
03/2026,30,4
03/2026,25,1
03/2026,120,3
03/2026,115,14
03/2026,125,2
03/2026,35,27
03/2026,130,1
02/2026,65,44999
02/2026,75,66788
02/2026,70,73955
02/2026,80,66314
02/2026,95,18589
02/2026,90,32744
02/2026,85,44580
02/2026,55,5261
02/2026,60,14347
02/2026,50,1287
02/2026,110,164
02/2026,100,6511
02/2026,105,1639
02/2026,40,86
02/2026,45,361
02/2026,30,4
02/2026,25,1
02/2026,120,3
02/2026,115,12
02/2026,125,2
02/2026,35,28
02/2026,130,1
01/2026,65,43723
01/2026,75,65446
01/2026,70,72010
01/2026,80,64678
01/2026,95,17939
01/2026,90,31630
01/2026,85,43012
01/2026,55,5089
01/2026,60,13709
01/2026,50,1224
01/2026,110,151
01/2026,100,6243
01/2026,105,1454
01/2026,40,76
01/2026,45,311
01/2026,30,4
01/2026,25,2
01/2026,120,3
01/2026,115,8
01/2026,125,2
01/2026,35,26
01/2026,130,1
12/2025,65,42555
12/2025,75,64249
12/2025,70,70408
12/2025,80,62993
12/2025,95,17083
12/2025,90,30499
12/2025,85,41597
12/2025,55,4626
12/2025,60,13014
12/2025,50,1178
12/2025,110,113
12/2025,100,5872
12/2025,105,1291
12/2025,40,65
12/2025,45,280
12/2025,30,4
12/2025,25,1
12/2025,120,4
12/2025,115,10
12/2025,125,2
12/2025,35,20
12/2025,130,1
11/2025,65,41070
11/2025,75,62744
11/2025,70,68303
11/2025,80,61330
11/2025,95,16266
11/2025,90,29548
11/2025,85,40372
11/2025,55,4393
11/2025,60,12426
11/2025,50,1095
11/2025,110,103
11/2025,100,5621
11/2025,105,1173
11/2025,40,63
11/2025,45,258
11/2025,30,3
11/2025,25,1
11/2025,120,6
11/2025,115,7
11/2025,125,2
11/2025,35,17
11/2025,130,1
10/2025,65,39153
10/2025,75,60523
10/2025,70,65161
10/2025,80,59601
10/2025,95,16020
10/2025,90,29100
10/2025,85,39794
10/2025,55,4055
10/2025,60,11563
10/2025,50,1020
10/2025,110,83
10/2025,100,5237
10/2025,105,1059
10/2025,40,56
10/2025,45,240
10/2025,30,3
10/2025,25,1
10/2025,120,5
10/2025,115,7
10/2025,125,3
10/2025,35,14
10/2025,130,1
09/2025,65,36159
09/2025,75,56645
09/2025,70,60917
09/2025,80,55583
09/2025,95,14576
09/2025,90,26700
09/2025,85,36814
09/2025,55,3719
09/2025,60,10599
09/2025,50,976
09/2025,110,79
09/2025,100,4635
09/2025,105,921
09/2025,40,53
09/2025,45,221
09/2025,30,2
09/2025,25,1
09/2025,120,4
09/2025,115,8
09/2025,125,2
09/2025,35,14
09/2025,130,1
08/2025,65,34036
08/2025,75,53724
08/2025,70,57588
08/2025,80,52415
08/2025,95,13355
08/2025,90,25301
08/2025,85,34658
08/2025,55,3377
08/2025,60,9972
08/2025,50,921
08/2025,110,63
08/2025,100,4175
08/2025,105,794
08/2025,40,51
08/2025,45,216
08/2025,30,2
08/2025,25,1
08/2025,120,4
08/2025,115,6
08/2025,125,2
08/2025,35,12
08/2025,130,1
07/2025,65,31883
07/2025,75,50520
07/2025,70,53887
07/2025,80,48754
07/2025,95,12501
07/2025,90,24165
07/2025,85,32758
07/2025,55,3035
07/2025,60,9114
07/2025,50,862
07/2025,110,66
07/2025,100,3838
07/2025,105,730
07/2025,40,37
07/2025,45,182
07/2025,30,2
07/2025,25,1
07/2025,120,4
07/2025,115,5
07/2025,125,2
07/2025,35,10
07/2025,130,1
06/2025,65,29818
06/2025,75,47185
06/2025,70,50726
06/2025,80,45670
06/2025,95,11426
06/2025,90,22183
06/2025,85,30636
06/2025,55,2890
06/2025,60,8236
06/2025,50,777
06/2025,110,55
06/2025,100,3431
06/2025,105,626
06/2025,40,36
06/2025,45,155
06/2025,30,2
06/2025,25,1
06/2025,120,4
06/2025,115,4
06/2025,125,2
06/2025,35,8
06/2025,130,1
05/2025,65,28497
05/2025,75,44902
05/2025,70,47929
05/2025,80,42932
05/2025,95,10729
05/2025,90,20599
05/2025,85,28904
05/2025,55,2668
05/2025,60,7676
05/2025,50,714
05/2025,110,41
05/2025,100,3139
05/2025,105,541
05/2025,40,33
05/2025,45,135
05/2025,30,2
05/2025,25,1
05/2025,120,4
05/2025,115,7
05/2025,125,2
05/2025,35,7
05/2025,130,1
04/2025,65,26343
04/2025,75,41795
04/2025,70,44693
04/2025,80,39989
04/2025,95,10090
04/2025,90,19348
04/2025,85,26832
04/2025,55,2398
04/2025,60,6997
04/2025,50,621
04/2025,110,40
04/2025,100,2855
04/2025,105,482
04/2025,40,25
04/2025,45,127
04/2025,30,3
04/2025,120,4
04/2025,115,7
04/2025,125,2
04/2025,35,12
04/2025,130,1
03/2025,65,24209
03/2025,75,38134
03/2025,70,40328
03/2025,80,36585
03/2025,95,9297
03/2025,90,17478
03/2025,85,24521
03/2025,55,2153
03/2025,60,6358
03/2025,50,573
03/2025,110,38
03/2025,100,2452
03/2025,105,424
03/2025,40,28
03/2025,45,103
03/2025,30,2
03/2025,25,1
03/2025,120,4
03/2025,115,6
03/2025,35,8
03/2025,130,1
02/2025,65,21563
02/2025,75,34031
02/2025,70,35953
02/2025,80,32949
02/2025,95,8345
02/2025,90,15398
02/2025,85,21890
02/2025,55,1949
02/2025,60,5621
02/2025,50,486
02/2025,110,33
02/2025,100,2135
02/2025,105,352
02/2025,40,27
02/2025,45,86
02/2025,30,2
02/2025,25,1
02/2025,120,4
02/2025,115,6
02/2025,35,6
02/2025,130,1
01/2025,65,19212
01/2025,75,30392
01/2025,70,31783
01/2025,80,28975
01/2025,95,7207
01/2025,90,13525
01/2025,85,19500
01/2025,55,1729
01/2025,60,4936
01/2025,50,443
01/2025,110,21
01/2025,100,1887
01/2025,105,307
01/2025,40,25
01/2025,45,73
01/2025,30,2
01/2025,120,4
01/2025,115,5
01/2025,35,5
01/2025,130,1
12/2024,65,16902
12/2024,75,26236
12/2024,70,27585
12/2024,80,23968
12/2024,95,5602
12/2024,90,11697
12/2024,85,16683
12/2024,55,1423
12/2024,60,4372
12/2024,50,329
12/2024,110,12
12/2024,100,1307
12/2024,105,210
12/2024,40,23
12/2024,45,50
12/2024,30,2
12/2024,120,2
12/2024,115,2
12/2024,35,4
12/2024,130,1
11/2024,65,14132
11/2024,75,21718
11/2024,70,22992
11/2024,80,19615
11/2024,95,4481
11/2024,90,9737
11/2024,85,14118
11/2024,55,1110
11/2024,60,3628
11/2024,50,271
11/2024,110,9
11/2024,100,1021
11/2024,105,179
11/2024,40,18
11/2024,45,43
11/2024,30,1
11/2024,120,2
11/2024,115,1
11/2024,35,4
10/2024,65,10799
10/2024,75,16221
10/2024,70,17368
10/2024,80,15571
10/2024,95,3794
10/2024,90,7348
10/2024,85,10933
10/2024,55,827
10/2024,60,2670
10/2024,50,182
10/2024,110,11
10/2024,100,1042
10/2024,105,169
