AsAt,OccGroup,Score,n
08/2026,2613 Software and Applications Programmers,65,2698
08/2026,2613 Software and Applications Programmers,75,4019
08/2026,2613 Software and Applications Programmers,70,3351
08/2026,2613 Software and Applications Programmers,80,3724
08/2026,2613 Software and Applications Programmers,95,2125
08/2026,2613 Software and Applications Programmers,90,3826
08/2026,2613 Software and Applications Programmers,85,3628
08/2026,2613 Software and Applications Programmers,55,419
08/2026,2613 Software and Applications Programmers,60,894
08/2026,2613 Software and Applications Programmers,50,160
08/2026,2613 Software and Applications Programmers,110,13
08/2026,2613 Software and Applications Programmers,100,826
08/2026,2613 Software and Applications Programmers,105,108
08/2026,2613 Software and Applications Programmers,40,11
08/2026,2613 Software and Applications Programmers,45,48
08/2026,2613 Software and Applications Programmers,30,7
08/2026,2613 Software and Applications Programmers,25,2
08/2026,2613 Software and Applications Programmers,120,2
08/2026,2613 Software and Applications Programmers,115,1
08/2026,2613 Software and Applications Programmers,125,1
08/2026,2613 Software and Applications Programmers,35,2
08/2026,3212 Motor Mechanics,65,729
08/2026,3212 Motor Mechanics,75,585
08/2026,3212 Motor Mechanics,70,748
08/2026,3212 Motor Mechanics,80,360
08/2026,3212 Motor Mechanics,95,21
08/2026,3212 Motor Mechanics,90,61
08/2026,3212 Motor Mechanics,85,140
08/2026,3212 Motor Mechanics,55,156
08/2026,3212 Motor Mechanics,60,368
08/2026,3212 Motor Mechanics,50,50
08/2026,3212 Motor Mechanics,100,2
08/2026,3212 Motor Mechanics,40,3
08/2026,3212 Motor Mechanics,45,15
08/2026,3212 Motor Mechanics,30,1
08/2026,3212 Motor Mechanics,125,1
08/2026,3212 Motor Mechanics,35,2
08/2026,2332 Civil Engineering Professionals,65,1923
08/2026,2332 Civil Engineering Professionals,75,1999
08/2026,2332 Civil Engineering Professionals,70,2064
08/2026,2332 Civil Engineering Professionals,80,1618
08/2026,2332 Civil Engineering Professionals,95,228
08/2026,2332 Civil Engineering Professionals,90,673
08/2026,2332 Civil Engineering Professionals,85,1263
08/2026,2332 Civil Engineering Professionals,55,387
08/2026,2332 Civil Engineering Professionals,60,673
08/2026,2332 Civil Engineering Professionals,50,134
08/2026,2332 Civil Engineering Professionals,110,3
08/2026,2332 Civil Engineering Professionals,100,50
08/2026,2332 Civil Engineering Professionals,105,4
08/2026,2332 Civil Engineering Professionals,40,7
08/2026,2332 Civil Engineering Professionals,45,41
08/2026,2332 Civil Engineering Professionals,30,1
08/2026,2332 Civil Engineering Professionals,25,1
08/2026,2332 Civil Engineering Professionals,120,1
08/2026,2332 Civil Engineering Professionals,35,3
08/2026,2411 Early Childhood (Pre-primary School) Teachers,65,1860
08/2026,2411 Early Childhood (Pre-primary School) Teachers,75,2465
08/2026,2411 Early Childhood (Pre-primary School) Teachers,70,2673
08/2026,2411 Early Childhood (Pre-primary School) Teachers,80,2005
08/2026,2411 Early Childhood (Pre-primary School) Teachers,95,11
08/2026,2411 Early Childhood (Pre-primary School) Teachers,90,374
08/2026,2411 Early Childhood (Pre-primary School) Teachers,85,1998
08/2026,2411 Early Childhood (Pre-primary School) Teachers,55,286
08/2026,2411 Early Childhood (Pre-primary School) Teachers,60,804
08/2026,2411 Early Childhood (Pre-primary School) Teachers,50,121
08/2026,2411 Early Childhood (Pre-primary School) Teachers,40,5
08/2026,2411 Early Childhood (Pre-primary School) Teachers,45,23
08/2026,2411 Early Childhood (Pre-primary School) Teachers,30,1
08/2026,2411 Early Childhood (Pre-primary School) Teachers,125,1
08/2026,2411 Early Childhood (Pre-primary School) Teachers,35,1
08/2026,2611 ICT Business and Systems Analysts,65,1333
08/2026,2611 ICT Business and Systems Analysts,75,2063
08/2026,2611 ICT Business and Systems Analysts,70,1653
08/2026,2611 ICT Business and Systems Analysts,80,1995
08/2026,2611 ICT Business and Systems Analysts,95,1108
08/2026,2611 ICT Business and Systems Analysts,90,1925
08/2026,2611 ICT Business and Systems Analysts,85,1872
08/2026,2611 ICT Business and Systems Analysts,55,196
08/2026,2611 ICT Business and Systems Analysts,60,396
08/2026,2611 ICT Business and Systems Analysts,50,60
08/2026,2611 ICT Business and Systems Analysts,110,4
08/2026,2611 ICT Business and Systems Analysts,100,408
08/2026,2611 ICT Business and Systems Analysts,105,22
08/2026,2611 ICT Business and Systems Analysts,40,8
08/2026,2611 ICT Business and Systems Analysts,45,25
08/2026,2611 ICT Business and Systems Analysts,30,1
08/2026,2211 Accountants,65,1452
08/2026,2211 Accountants,75,2081
08/2026,2211 Accountants,70,2051
08/2026,2211 Accountants,80,1735
08/2026,2211 Accountants,95,538
08/2026,2211 Accountants,90,973
08/2026,2211 Accountants,85,1504
08/2026,2211 Accountants,55,156
08/2026,2211 Accountants,60,407
08/2026,2211 Accountants,50,66
08/2026,2211 Accountants,110,2
08/2026,2211 Accountants,100,176
08/2026,2211 Accountants,105,11
08/2026,2211 Accountants,40,3
08/2026,2211 Accountants,45,13
08/2026,2211 Accountants,115,1
08/2026,2211 Accountants,35,4
08/2026,2344 Geologists Geophysicists and Hydrogeologists,65,20
08/2026,2344 Geologists Geophysicists and Hydrogeologists,75,23
08/2026,2344 Geologists Geophysicists and Hydrogeologists,70,19
08/2026,2344 Geologists Geophysicists and Hydrogeologists,80,10
08/2026,2344 Geologists Geophysicists and Hydrogeologists,90,6
08/2026,2344 Geologists Geophysicists and Hydrogeologists,85,3
08/2026,2344 Geologists Geophysicists and Hydrogeologists,55,8
08/2026,2344 Geologists Geophysicists and Hydrogeologists,60,12
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",65,346
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",75,519
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",70,419
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",80,511
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",95,211
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",90,402
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",85,492
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",55,58
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",60,93
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",50,19
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",110,1
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",100,72
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",105,5
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",40,1
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",45,5
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",65,616
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",75,703
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",70,729
