StatusMonth,OccGroup,Score,n
2025-01,2613 Software and Applications Programmers,65,1
2025-01,2613 Software and Applications Programmers,75,8
2025-01,2613 Software and Applications Programmers,70,1
2025-01,2613 Software and Applications Programmers,80,6
2025-01,2613 Software and Applications Programmers,95,3
2025-01,2613 Software and Applications Programmers,90,14
2025-01,2613 Software and Applications Programmers,85,21
2025-01,3212 Motor Mechanics,75,1
2025-01,3212 Motor Mechanics,80,2
2025-01,3212 Motor Mechanics,60,3
2025-01,2332 Civil Engineering Professionals,65,4
2025-01,2332 Civil Engineering Professionals,75,7
2025-01,2332 Civil Engineering Professionals,70,8
2025-01,2332 Civil Engineering Professionals,80,13
2025-01,2332 Civil Engineering Professionals,90,1
2025-01,2332 Civil Engineering Professionals,85,5
2025-01,2332 Civil Engineering Professionals,60,2
2025-01,2411 Early Childhood (Pre-primary School) Teachers,65,8
2025-01,2411 Early Childhood (Pre-primary School) Teachers,75,4
2025-01,2411 Early Childhood (Pre-primary School) Teachers,70,9
2025-01,2411 Early Childhood (Pre-primary School) Teachers,80,2
2025-01,2411 Early Childhood (Pre-primary School) Teachers,90,1
2025-01,2411 Early Childhood (Pre-primary School) Teachers,85,1
2025-01,2611 ICT Business and Systems Analysts,65,1
2025-01,2611 ICT Business and Systems Analysts,75,5
2025-01,2611 ICT Business and Systems Analysts,70,2
2025-01,2611 ICT Business and Systems Analysts,80,6
2025-01,2611 ICT Business and Systems Analysts,95,3
2025-01,2611 ICT Business and Systems Analysts,90,12
2025-01,2611 ICT Business and Systems Analysts,85,10
2025-01,2611 ICT Business and Systems Analysts,60,1
2025-01,2611 ICT Business and Systems Analysts,100,2
2025-01,2211 Accountants,65,1
2025-01,2211 Accountants,75,7
2025-01,2211 Accountants,70,6
2025-01,2211 Accountants,80,7
2025-01,2211 Accountants,95,2
2025-01,2211 Accountants,90,3
2025-01,2211 Accountants,85,11
2025-01,2211 Accountants,60,4
2025-01,2344 Geologists Geophysicists and Hydrogeologists,80,1
2025-01,"2621 Database and Systems Administrators, and ICT Security Specialists",65,1
2025-01,"2621 Database and Systems Administrators, and ICT Security Specialists",75,2
2025-01,"2621 Database and Systems Administrators, and ICT Security Specialists",80,1
2025-01,"2621 Database and Systems Administrators, and ICT Security Specialists",90,4
2025-01,"2621 Database and Systems Administrators, and ICT Security Specialists",85,2
2025-01,"2621 Database and Systems Administrators, and ICT Security Specialists",60,1
2025-01,"2212 Auditors, Company Secretaries and Corporate Treasurers",65,1
2025-01,"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2
2025-01,"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2
2025-01,"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2
2025-01,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,1
2025-01,"2212 Auditors, Company Secretaries and Corporate Treasurers",85,3
2025-01,2345 Life Scientists,80,2
2025-01,2345 Life Scientists,85,1
2025-01,"2335 Industrial, Mechanical and Production Engineers",65,2
2025-01,"2335 Industrial, Mechanical and Production Engineers",75,2
2025-01,"2335 Industrial, Mechanical and Production Engineers",70,3
2025-01,"2335 Industrial, Mechanical and Production Engineers",80,5
2025-01,"2335 Industrial, Mechanical and Production Engineers",90,1
2025-01,"2335 Industrial, Mechanical and Production Engineers",85,5
2025-01,2339 Other Engineering Professionals,65,3
2025-01,2339 Other Engineering Professionals,75,4
2025-01,2339 Other Engineering Professionals,70,1
2025-01,2339 Other Engineering Professionals,80,2
2025-01,2339 Other Engineering Professionals,85,6
2025-01,2341 Agricultural and Forestry Scientists,70,1
2025-01,2544 Registered Nurses,65,24
2025-01,2544 Registered Nurses,75,9
2025-01,2544 Registered Nurses,70,33
2025-01,2544 Registered Nurses,80,12
2025-01,2544 Registered Nurses,90,1
2025-01,2544 Registered Nurses,85,6
2025-01,2544 Registered Nurses,60,5
