AsAt,Score,n
08/2026,65,24565
08/2026,75,60998
08/2026,70,57255
08/2026,80,87332
08/2026,95,38278
08/2026,90,64229
08/2026,85,69837
08/2026,55,1694
08/2026,60,5409
08/2026,50,211
08/2026,110,4143
08/2026,100,25244
08/2026,105,13095
08/2026,40,16
08/2026,45,53
08/2026,25,2
08/2026,120,100
08/2026,115,1107
08/2026,125,33
08/2026,35,3
08/2026,130,1
08/2026,135,4
08/2026,140,3
07/2026,65,24153
07/2026,75,61083
07/2026,70,56506
07/2026,80,87588
07/2026,95,38008
07/2026,90,64813
07/2026,85,70350
07/2026,55,1634
07/2026,60,5074
07/2026,50,202
07/2026,110,3997
07/2026,100,25452
07/2026,105,12964
07/2026,40,16
07/2026,45,51
07/2026,25,2
07/2026,120,91
07/2026,115,1053
07/2026,125,28
07/2026,35,1
07/2026,130,1
07/2026,135,4
07/2026,140,2
06/2026,65,23670
06/2026,75,60537
06/2026,70,55814
06/2026,80,86813
06/2026,95,37749
06/2026,90,64631
06/2026,85,70261
06/2026,55,1505
06/2026,60,4798
06/2026,50,191
06/2026,110,3928
06/2026,100,25027
06/2026,105,12694
06/2026,40,14
06/2026,45,47
06/2026,25,2
06/2026,120,88
06/2026,115,948
06/2026,125,13
06/2026,35,1
06/2026,130,2
06/2026,135,3
06/2026,140,1
05/2026,65,23481
05/2026,75,59247
05/2026,70,54391
05/2026,80,86072
05/2026,95,38048
05/2026,90,63582
05/2026,85,69027
05/2026,55,1396
05/2026,60,4521
05/2026,50,184
05/2026,110,3831
05/2026,100,24675
05/2026,105,12472
05/2026,40,12
05/2026,45,44
05/2026,25,2
05/2026,120,89
05/2026,115,892
05/2026,125,5
05/2026,35,1
05/2026,130,2
05/2026,135,3
05/2026,140,1
04/2026,65,22656
04/2026,75,58679
04/2026,70,52964
04/2026,80,84083
04/2026,95,37385
04/2026,90,62255
04/2026,85,68049
04/2026,55,1231
04/2026,60,4279
04/2026,50,180
04/2026,110,3670
04/2026,100,24151
04/2026,105,12090
04/2026,40,10
04/2026,45,41
04/2026,25,2
04/2026,120,83
04/2026,115,843
04/2026,125,5
04/2026,35,1
04/2026,130,2
04/2026,135,3
04/2026,140,1
03/2026,65,21851
03/2026,75,56606
03/2026,70,50940
03/2026,80,82010
03/2026,95,36323
03/2026,90,60467
03/2026,85,66457
03/2026,55,1162
03/2026,60,3954
03/2026,50,162
03/2026,110,3437
03/2026,100,23343
03/2026,105,11621
03/2026,40,10
03/2026,45,38
03/2026,25,2
03/2026,120,82
03/2026,115,743
03/2026,125,5
03/2026,35,1
03/2026,130,2
03/2026,135,3
03/2026,140,1
02/2026,65,20877
02/2026,75,55280
02/2026,70,49617
02/2026,80,80255
02/2026,95,35243
02/2026,90,59149
02/2026,85,64934
02/2026,55,1053
02/2026,60,3696
02/2026,50,151
02/2026,110,3273
02/2026,100,22446
02/2026,105,11203
02/2026,40,9
02/2026,45,38
02/2026,25,2
02/2026,120,78
02/2026,115,672
02/2026,125,5
02/2026,35,1
02/2026,130,2
02/2026,135,3
02/2026,140,1
01/2026,65,20436
01/2026,75,53829
01/2026,70,47973
01/2026,80,78280
01/2026,95,33783
01/2026,90,57625
01/2026,85,63576
01/2026,55,931
01/2026,60,3545
01/2026,50,140
01/2026,110,3109
01/2026,100,21707
01/2026,105,10762
01/2026,40,8
01/2026,45,35
01/2026,25,2
01/2026,120,53
01/2026,115,582
01/2026,125,5
01/2026,35,2
01/2026,130,2
01/2026,135,3
01/2026,140,1
12/2025,65,19291
12/2025,75,52389
12/2025,70,46319
12/2025,80,76345
12/2025,95,32667
12/2025,90,56142
12/2025,85,62016
12/2025,55,845
12/2025,60,3282
12/2025,50,116
12/2025,110,2774
12/2025,100,20873
12/2025,105,10099
12/2025,40,7
12/2025,45,34
12/2025,25,2
12/2025,120,53
12/2025,115,511
12/2025,125,4
12/2025,35,1
12/2025,130,2
12/2025,135,3
12/2025,140,1
11/2025,65,18388
11/2025,75,50382
11/2025,70,44619
11/2025,80,73694
11/2025,95,31370
11/2025,90,54603
11/2025,85,60283
11/2025,55,817
11/2025,60,3035
11/2025,50,110
11/2025,110,2564
11/2025,100,20223
11/2025,105,9392
11/2025,40,6
11/2025,45,35
11/2025,25,2
11/2025,120,49
11/2025,115,421
11/2025,125,4
11/2025,35,1
11/2025,130,3
11/2025,135,3
11/2025,140,1
10/2025,65,17310
10/2025,75,47597
10/2025,70,41783
10/2025,80,69672
10/2025,95,30011
10/2025,90,51886
10/2025,85,57443
10/2025,55,760
10/2025,60,2786
10/2025,50,100
10/2025,110,2179
10/2025,100,19118
10/2025,105,8982
10/2025,40,5
10/2025,45,32
10/2025,25,2
10/2025,120,30
10/2025,115,368
10/2025,125,4
10/2025,35,1
10/2025,130,2
10/2025,135,4
10/2025,140,1
09/2025,65,15891
09/2025,75,43850
09/2025,70,38142
09/2025,80,65189
09/2025,95,27960
09/2025,90,48007
09/2025,85,53792
09/2025,55,659
09/2025,60,2546
09/2025,50,90
09/2025,110,1941
09/2025,100,17628
09/2025,105,8087
09/2025,40,4
09/2025,45,31
09/2025,25,2
09/2025,120,30
09/2025,115,297
09/2025,125,4
09/2025,35,1
09/2025,130,2
09/2025,135,3
09/2025,140,1
08/2025,65,14715
08/2025,75,41373
08/2025,70,35460
08/2025,80,61467
08/2025,95,26316
08/2025,90,44898
08/2025,85,50951
08/2025,55,639
08/2025,60,2349
08/2025,50,84
08/2025,110,1746
08/2025,100,16459
08/2025,105,7451
08/2025,40,4
08/2025,45,29
08/2025,25,2
08/2025,120,19
08/2025,115,259
08/2025,125,4
08/2025,35,1
08/2025,130,2
08/2025,135,3
08/2025,140,1
07/2025,65,13562
07/2025,75,38724
07/2025,70,33095
07/2025,80,57344
07/2025,95,24216
07/2025,90,41497
07/2025,85,47561
07/2025,55,544
07/2025,60,2134
07/2025,50,83
07/2025,110,1598
07/2025,100,15266
07/2025,105,6795
07/2025,40,4
07/2025,45,25
07/2025,25,2
07/2025,120,18
07/2025,115,233
07/2025,125,4
07/2025,35,1
07/2025,130,2
07/2025,135,3
07/2025,140,1
06/2025,65,12836
06/2025,75,36022
06/2025,70,30793
06/2025,80,53818
06/2025,95,22605
06/2025,90,38611
06/2025,85,44225
06/2025,55,472
06/2025,60,1936
06/2025,50,78
06/2025,110,1385
06/2025,100,13822
06/2025,105,6115
06/2025,40,6
06/2025,45,23
06/2025,25,2
06/2025,120,16
06/2025,115,194
06/2025,125,4
06/2025,35,1
06/2025,130,2
06/2025,135,3
06/2025,140,1
05/2025,65,12073
05/2025,75,34227
05/2025,70,29165
05/2025,80,50322
05/2025,95,21362
05/2025,90,36041
05/2025,85,41993
05/2025,55,401
05/2025,60,1717
05/2025,50,74
05/2025,110,1293
05/2025,100,12756
05/2025,105,5665
05/2025,40,6
05/2025,45,22
05/2025,25,2
05/2025,120,10
05/2025,115,149
05/2025,125,4
05/2025,35,1
05/2025,130,3
05/2025,135,2
05/2025,140,1
04/2025,65,11155
04/2025,75,31436
04/2025,70,26794
04/2025,80,46737
04/2025,95,19527
04/2025,90,33430
04/2025,85,38782
04/2025,55,366
04/2025,60,1464
04/2025,50,68
04/2025,110,1178
04/2025,100,11979
04/2025,105,5184
04/2025,40,5
04/2025,45,24
04/2025,25,2
04/2025,120,10
04/2025,115,132
04/2025,125,5
04/2025,130,3
04/2025,135,2
04/2025,140,1
03/2025,65,10097
03/2025,75,28937
03/2025,70,24452
03/2025,80,42300
03/2025,95,17728
03/2025,90,30399
03/2025,85,35242
03/2025,55,312
03/2025,60,1279
03/2025,50,58
03/2025,110,1009
03/2025,100,10749
03/2025,105,4717
