lag_bucket,eois
150 <= x < 180,11827
0 <= x < 30,105975
300 <= x < 330,9694
330 <= x < 360,9284
180 <= x < 210,11444
390 <= x < 420,7137
360 <= x < 390,8139
510 <= x < 540,4788
480 <= x < 510,5455
270 <= x < 300,10397
420 <= x < 450,6672
90 <= x < 120,13375
240 <= x < 270,10764
570 <= x < 600,3511
540 <= x < 570,4028
60 <= x < 90,13716
660 <= x < 690,1491
30 <= x < 60,14666
210 <= x < 240,11049
450 <= x < 480,6315
690 <= x < 720,833
720 <= x < 750,68
120 <= x < 150,12498
600 <= x < 630,3133
630 <= x < 660,2380
-30 <= x < 0,32
-60 <= x < -30,1
1050 <= x < 1080,1
1020 <= x < 1050,1
-300 <= x < -270,1
