OccGroup,Score,Partner,n
2613 Software and Applications Programmers,65,0,792
2613 Software and Applications Programmers,65,5,564
2613 Software and Applications Programmers,65,10,1345
2613 Software and Applications Programmers,75,0,416
2613 Software and Applications Programmers,75,5,856
2613 Software and Applications Programmers,75,10,2748
2613 Software and Applications Programmers,70,0,483
2613 Software and Applications Programmers,70,5,1298
2613 Software and Applications Programmers,70,10,1572
2613 Software and Applications Programmers,80,0,178
2613 Software and Applications Programmers,80,5,935
2613 Software and Applications Programmers,80,10,2615
2613 Software and Applications Programmers,95,0,4
2613 Software and Applications Programmers,95,5,213
2613 Software and Applications Programmers,95,10,1908
2613 Software and Applications Programmers,90,0,45
2613 Software and Applications Programmers,90,5,423
2613 Software and Applications Programmers,90,10,3362
2613 Software and Applications Programmers,85,0,85
2613 Software and Applications Programmers,85,5,836
2613 Software and Applications Programmers,85,10,2708
2613 Software and Applications Programmers,55,0,220
2613 Software and Applications Programmers,55,5,85
2613 Software and Applications Programmers,55,10,114
2613 Software and Applications Programmers,60,0,281
2613 Software and Applications Programmers,60,5,327
2613 Software and Applications Programmers,60,10,286
2613 Software and Applications Programmers,50,0,97
2613 Software and Applications Programmers,50,5,38
2613 Software and Applications Programmers,50,10,25
2613 Software and Applications Programmers,110,10,13
2613 Software and Applications Programmers,100,0,3
2613 Software and Applications Programmers,100,5,20
2613 Software and Applications Programmers,100,10,806
2613 Software and Applications Programmers,105,5,4
2613 Software and Applications Programmers,105,10,104
2613 Software and Applications Programmers,40,0,9
2613 Software and Applications Programmers,40,5,2
2613 Software and Applications Programmers,45,0,26
2613 Software and Applications Programmers,45,5,13
2613 Software and Applications Programmers,45,10,9
2613 Software and Applications Programmers,30,0,2
2613 Software and Applications Programmers,30,10,5
2613 Software and Applications Programmers,25,0,1
2613 Software and Applications Programmers,25,10,1
2613 Software and Applications Programmers,120,10,2
2613 Software and Applications Programmers,115,10,1
2613 Software and Applications Programmers,125,10,1
2613 Software and Applications Programmers,35,0,2
3212 Motor Mechanics,65,0,62
3212 Motor Mechanics,65,5,148
3212 Motor Mechanics,65,10,519
3212 Motor Mechanics,75,0,16
3212 Motor Mechanics,75,5,93
3212 Motor Mechanics,75,10,476
3212 Motor Mechanics,70,0,47
3212 Motor Mechanics,70,5,127
3212 Motor Mechanics,70,10,578
3212 Motor Mechanics,80,0,5
3212 Motor Mechanics,80,5,67
3212 Motor Mechanics,80,10,288
3212 Motor Mechanics,95,5,1
3212 Motor Mechanics,95,10,20
