Score,SubMonth,n
65,2026-07,2
65,2026-06,3
65,2026-04,1
65,2024-09,4
65,2024-10,4
65,2024-11,10
65,2024-12,3
65,2025-01,2
65,2025-02,2
65,2025-03,9
65,2025-04,1
65,2025-05,3
65,2025-06,2
65,2025-07,2
65,2025-08,3
65,2025-09,2
65,2025-10,3
65,2025-11,1
65,2025-12,2
65,2026-01,2
65,2026-02,1
65,2026-03,1
75,2026-07,7
75,2026-08,1
75,2026-06,1
75,2026-05,1
75,2026-04,3
75,2024-09,1
75,2024-11,3
75,2024-12,2
75,2025-01,1
75,2025-02,1
75,2025-04,4
75,2025-06,3
75,2025-07,2
75,2025-09,11
75,2025-10,3
75,2025-11,4
75,2025-12,1
75,2026-01,1
75,2026-02,1
75,2026-03,1
70,2026-08,3
70,2026-06,2
70,2026-05,1
70,2024-09,5
70,2024-11,8
70,2024-12,2
70,2025-01,1
70,2025-02,2
70,2025-05,2
70,2025-06,2
70,2025-08,3
70,2025-09,8
70,2025-10,2
70,2025-11,3
70,2026-01,1
70,2026-02,1
70,2026-03,2
80,2026-07,1
80,2026-08,4
80,2026-06,1
80,2026-05,1
80,2024-09,1
80,2024-10,2
80,2024-12,1
80,2025-01,1
80,2025-05,1
80,2025-06,2
80,2025-09,1
80,2025-10,1
80,2026-03,1
95,2026-06,2
95,2026-02,1
90,2026-07,1
90,2026-08,1
90,2025-07,1
85,2026-07,2
85,2026-08,2
85,2026-06,2
85,2026-05,2
85,2026-04,1
85,2024-08,1
85,2024-09,1
85,2024-12,2
85,2025-02,1
85,2025-06,1
85,2025-10,1
85,2025-11,1
85,2025-12,1
85,2026-01,1
85,2026-02,1
55,2026-06,1
55,2024-11,1
55,2025-02,1
55,2025-03,1
55,2025-04,1
55,2025-08,1
60,2026-08,1
60,2024-11,2
60,2024-12,1
60,2025-03,2
60,2025-04,1
60,2025-08,2
60,2025-11,1
60,2026-03,1
50,2024-12,1
50,2025-03,1
50,2025-06,1
50,2025-07,1
50,2025-08,1
50,2025-10,1
100,2026-07,2
100,2026-05,1
105,2026-05,1
105,2026-04,1
40,2025-01,1
